Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue Feb  6 15:05:17 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11875,0.0,0.0,549.4911499023438,551.251708984375,0.0,1,0,0,1,15.009833333333333
Tue Feb  6 15:05:26 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.10374999999999,0.0,0.0,549.5322265625,551.001220703125,0.0,1,0,0,1,14.980000000000002
Tue Feb  6 15:05:36 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11125000000001,0.0,0.0,549.5709838867188,550.654052734375,0.0,1,0,0,1,14.980000000000002
Tue Feb  6 15:05:45 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.5886840820312,550.496337890625,0.0,1,0,0,1,15.001
Tue Feb  6 15:05:55 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11125000000001,0.0,0.0,549.6250610351562,550.0997314453125,0.0,1,0,0,1,15.001
Tue Feb  6 15:06:04 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.64111328125,549.8714599609375,0.0,1,0,0,1,14.974333333333334
Tue Feb  6 15:06:14 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.648193359375,549.6065673828125,0.0,1,0,0,1,14.974333333333334
Tue Feb  6 15:06:23 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.663330078125,549.5242919921875,0.0,1,0,0,1,15.025666666666668
Tue Feb  6 15:06:33 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.13374999999999,0.0,0.0,549.6800537109375,549.5201416015625,0.0,1,0,0,1,15.025666666666668
Tue Feb  6 15:06:42 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11125000000001,0.0,0.0,549.7097778320312,549.5616455078125,0.0,1,0,0,1,14.976666666666667
Tue Feb  6 15:08:07 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11875,0.0,0.0,549.8977661132812,549.09716796875,0.0,2,0,0,1,14.978166666666667
Tue Feb  6 15:08:17 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.10374999999999,0.0,0.0,549.9050903320312,549.0089111328125,0.0,2,0,0,1,14.978166666666667
Tue Feb  6 15:08:26 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,549.9202880859375,549.0130615234375,0.0,2,0,0,1,14.9805
Tue Feb  6 15:08:37 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.1075,0.0,0.0,549.9102172851562,548.9783935546875,0.0,2,0,0,1,14.9805
Tue Feb  6 15:08:46 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11875,0.0,0.0,549.9119262695312,549.005126953125,0.0,2,0,0,1,14.9715
Tue Feb  6 15:08:56 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11125000000001,0.0,0.0,549.9378051757812,549.015625,0.0,2,0,0,1,14.9715
Tue Feb  6 15:09:05 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,549.9343872070312,548.8175048828125,0.0,2,0,0,1,15.019333333333334
Tue Feb  6 15:09:16 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,549.9635620117188,548.8167724609375,0.0,2,0,0,1,15.019333333333334
Tue Feb  6 15:09:25 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.11875,0.0,0.0,549.9511108398438,548.7059326171875,0.0,2,0,0,1,14.986000000000002
Tue Feb  6 15:09:35 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12249999999999,0.0,0.0,549.9588012695312,548.669677734375,0.0,2,0,0,1,14.986000000000002
Tue Feb  6 15:09:44 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12625,0.0,0.0,549.955078125,548.7335205078125,0.0,2,0,0,1,15.008166666666668
Tue Feb  6 15:09:54 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.12625,0.0,0.0,549.9611206054688,548.7337646484375,0.0,2,0,0,1,15.008166666666668
Tue Feb  6 15:10:04 2024,24-005-02 reduxn rxn bp,0.0,0,119.119,0,0,550.0,1.0,0.0,9,0,0,1,15,0.0,0.0,119.115,0.0,0.0,549.9813232421875,548.6575927734375,0.0,2,0,0,1,15.009666666666668
