Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue Feb 20 17:53:11 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08500000000001,51.241966247558594,23.22796630859375,0.0,0,0,0,1,15.0005
Tue Feb 20 17:53:18 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08125,51.24428176879883,23.277801513671875,0.0,0,0,0,1,15.0005
Tue Feb 20 17:53:26 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.0925,51.242042541503906,23.364837646484375,0.0,0,0,0,1,14.999166666666667
Tue Feb 20 17:53:33 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.0775,51.24443435668945,23.275421142578125,0.0,0,0,0,1,14.999166666666667
Tue Feb 20 17:53:40 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08125,51.24543380737305,23.308135986328125,0.0,0,0,0,1,15.000166666666667
Tue Feb 20 17:53:48 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08125,51.249820709228516,23.158111572265625,0.0,0,0,0,1,15.000166666666667
Tue Feb 20 17:53:55 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.10000000000001,51.25672912597656,23.28857421875,0.0,0,0,0,1,14.9995
Tue Feb 20 17:54:03 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08875,51.257232666015625,23.2725830078125,0.0,0,0,0,1,14.9995
Tue Feb 20 17:54:10 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.08125,51.256893157958984,23.183197021484375,0.0,0,0,0,1,15.0
Tue Feb 20 17:54:18 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,51.255008697509766,23.28179931640625,0.0,0,0,0,1,15.0
Tue Feb 20 17:54:25 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,51.25572967529297,23.349212646484375,0.0,0,0,0,1,14.9985
Tue Feb 20 17:54:33 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.0775,51.24736785888672,23.33209228515625,0.0,0,0,0,1,14.9985
Tue Feb 20 17:54:40 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.08875,51.25300216674805,23.275848388671875,0.0,0,0,0,1,14.999166666666666
Tue Feb 20 17:54:48 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.08500000000001,51.2466926574707,23.283782958984375,0.0,0,0,0,1,14.999166666666666
Tue Feb 20 17:54:55 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08875,51.249961853027344,23.212371826171875,0.0,0,0,0,1,15.000333333333332
Tue Feb 20 17:55:02 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08125,51.25075149536133,23.292999267578125,0.0,0,0,0,1,15.000333333333332
Tue Feb 20 17:55:09 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.0925,51.25160217285156,23.349639892578125,0.0,0,0,0,1,14.999333333333333
Tue Feb 20 17:55:17 2024,24-011,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.08624999999999,0.0,74.08125,51.25265121459961,23.3907470703125,0.0,0,0,0,1,14.999333333333333
