Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,5 SP,6 SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV,5 PV,6 PV
Wed Feb 14 16:29:23 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.10000000000001,50.70512390136719,23.249420166015625,0.0,0,0,0,1,15.0,15.005,14.999
Wed Feb 14 16:29:31 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,50.71179962158203,23.12091064453125,0.0,0,0,0,1,15.0,15.003,15.002
Wed Feb 14 16:29:38 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.09625,50.71025085449219,23.264556884765625,0.0,0,0,0,1,14.9975,15.005,15.001
Wed Feb 14 16:29:46 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.0925,50.714820861816406,23.22705078125,0.0,0,0,0,1,14.9975,15.003,14.999
Wed Feb 14 16:29:53 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0825,0.0,74.1075,50.714317321777344,23.251007080078125,0.0,0,0,0,1,14.997499999999999,15.006,15.003
Wed Feb 14 16:30:00 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.0925,50.71520233154297,23.332000732421875,0.0,0,0,0,1,14.997499999999999,14.998,14.999
Wed Feb 14 16:30:08 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.08875,50.71284103393555,23.145233154296875,0.0,0,0,0,1,14.99775,15.0,15.009
Wed Feb 14 16:30:15 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.09625,50.70824432373047,23.18914794921875,0.0,0,0,0,1,14.99775,15.004,14.992
Wed Feb 14 16:30:23 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.0925,50.704105377197266,23.310821533203125,0.0,0,0,0,1,15.00025,14.995,15.025
Wed Feb 14 16:30:30 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.09625,50.71302032470703,23.228240966796875,0.0,0,0,0,1,15.00025,14.998,15.0
