Time,1,2,3,4,5,6
Wed Jul 17 12:03:22 2024,14.998,14.998,15.009,14.998,14.999,15.0
Wed Jul 17 12:03:41 2024,14.995,14.997,15.011,15.002,14.998,14.998
Wed Jul 17 12:05:16 2024,14.998,14.997,15.026,14.998,14.998,14.998
Wed Jul 17 12:05:31 2024,15.003,15.0,14.999,14.998,15.0,15.0
Wed Jul 17 12:05:47 2024,15.005,15.002,14.997,14.996,15.0,15.002
Wed Jul 17 12:06:03 2024,15.002,15.0,15.001,15.001,14.999,15.002
Wed Jul 17 12:06:18 2024,15.002,15.001,15.008,15.004,14.984,15.002
Wed Jul 17 12:06:37 2024,15.003,14.998,15.006,15.004,15.0,15.0
Wed Jul 17 12:06:56 2024,15.006,14.998,15.012,14.988,14.999,14.999
Wed Jul 17 12:07:15 2024,15.0,15.002,15.008,14.998,15.001,14.999
Wed Jul 17 12:07:34 2024,14.998,15.001,14.988,15.03,15.0,15.003
Wed Jul 17 12:07:53 2024,14.994,15.002,14.998,15.002,15.001,14.999
Wed Jul 17 12:08:13 2024,15.002,14.996,15.006,14.998,14.999,14.998
Wed Jul 17 12:08:32 2024,15.0,15.0,15.002,14.998,15.002,15.001
Wed Jul 17 12:08:52 2024,15.003,15.001,14.995,14.996,14.999,15.001
Wed Jul 17 12:09:11 2024,14.997,14.998,15.004,14.994,15.0,15.0
Wed Jul 17 12:09:30 2024,15.005,15.001,15.001,14.998,15.002,14.997
Wed Jul 17 12:10:55 2024,15.002,15.001,14.998,15.005,14.999,15.002
Wed Jul 17 12:11:15 2024,15.002,15.001,15.017,14.999,15.001,14.996
Wed Jul 17 12:11:34 2024,15.002,15.002,14.984,15.002,14.999,15.003
Wed Jul 17 12:11:53 2024,14.998,15.002,14.99,15.008,14.999,15.002
Wed Jul 17 12:12:13 2024,15.002,15.001,15.003,15.002,15.002,14.999
Wed Jul 17 12:12:33 2024,15.003,15.0,15.006,14.998,15.001,15.002
Wed Jul 17 12:12:53 2024,15.0,15.001,14.994,15.006,14.999,15.002
Wed Jul 17 12:13:12 2024,15.002,15.002,14.995,15.004,14.999,15.0
Wed Jul 17 12:13:31 2024,15.003,14.999,14.997,15.001,14.999,14.999
Wed Jul 17 12:13:50 2024,14.998,14.999,15.002,14.998,15.0,14.998
Wed Jul 17 12:14:09 2024,15.005,14.998,15.009,14.991,15.003,15.001
Wed Jul 17 12:14:28 2024,15.0,15.0,15.008,14.995,14.998,14.998
Wed Jul 17 12:14:47 2024,15.0,15.002,14.991,15.002,14.999,15.005
Wed Jul 17 12:15:06 2024,14.998,15.0,14.996,15.005,14.999,14.999
Wed Jul 17 12:16:31 2024,14.997,14.998,15.007,15.002,15.001,14.999
Wed Jul 17 12:16:50 2024,15.002,14.999,15.002,15.0,15.002,15.0
Wed Jul 17 12:17:09 2024,15.0,15.002,14.992,14.995,14.999,15.001
Wed Jul 17 12:17:28 2024,15.002,15.002,14.988,14.993,15.001,15.004
Wed Jul 17 12:17:47 2024,15.0,14.999,15.004,15.005,14.994,15.002
Wed Jul 17 12:18:05 2024,14.997,15.0,14.996,14.992,15.002,15.002
Wed Jul 17 12:18:24 2024,14.997,14.998,15.009,14.991,15.0,14.997
Wed Jul 17 12:18:43 2024,15.0,15.001,14.995,15.0,15.002,15.001
Wed Jul 17 12:19:02 2024,15.005,15.003,14.98,15.002,15.0,15.004
Wed Jul 17 12:19:22 2024,15.0,15.0,14.999,14.996,15.003,15.0
Wed Jul 17 12:19:41 2024,14.998,14.997,15.013,15.004,15.0,14.998
Wed Jul 17 12:19:59 2024,15.003,15.002,14.986,15.003,14.999,15.002
Wed Jul 17 12:20:18 2024,14.997,15.002,15.001,14.998,15.002,15.001
Wed Jul 17 12:20:37 2024,15.005,15.01,14.977,14.998,15.0,15.006
Wed Jul 17 12:22:11 2024,15.0,14.998,15.009,15.002,14.998,15.0
Wed Jul 17 12:22:26 2024,14.998,14.999,14.991,14.999,14.999,15.002
Wed Jul 17 12:22:41 2024,15.0,15.009,14.985,15.005,14.998,15.002
Wed Jul 17 12:22:56 2024,15.005,14.901,14.991,14.991,15.009,14.983
Wed Jul 17 12:23:15 2024,15.0,14.75,14.992,14.966,15.005,15.002
Wed Jul 17 12:23:34 2024,15.006,14.941,14.988,14.984,15.005,15.0
Wed Jul 17 12:23:53 2024,14.995,15.0,15.001,14.99,15.002,15.001
Wed Jul 17 12:24:12 2024,15.002,15.002,15.003,14.991,15.0,14.999
Wed Jul 17 12:24:31 2024,14.998,15.007,15.016,15.001,14.996,14.998
Wed Jul 17 12:24:50 2024,15.0,15.007,14.999,15.016,14.998,15.002
Wed Jul 17 12:25:09 2024,15.002,15.002,14.993,15.017,14.998,14.998
Wed Jul 17 12:25:28 2024,14.998,15.001,14.988,15.016,15.001,14.998
Wed Jul 17 12:25:47 2024,15.005,15.003,14.984,15.006,15.004,15.0
Wed Jul 17 12:26:05 2024,15.0,15.002,14.997,14.998,15.002,15.002
Wed Jul 17 12:26:24 2024,15.002,14.997,15.002,14.995,15.002,15.0
Wed Jul 17 12:27:49 2024,15.0,15.001,14.991,15.004,15.002,14.999
Wed Jul 17 12:28:08 2024,15.006,14.98,14.977,14.977,15.003,15.003
Wed Jul 17 12:28:27 2024,15.002,15.007,14.989,14.995,14.999,14.995
Wed Jul 17 12:28:46 2024,14.998,14.996,15.002,15.004,15.003,15.002
Wed Jul 17 12:29:05 2024,14.998,15.007,15.006,15.005,14.999,15.002
Wed Jul 17 12:29:24 2024,15.0,15.003,14.997,15.01,14.999,14.998
Wed Jul 17 12:29:43 2024,15.003,14.997,15.006,15.02,14.998,15.002
Wed Jul 17 12:30:02 2024,14.997,14.998,15.006,15.015,14.998,15.001
Wed Jul 17 12:30:21 2024,15.0,14.991,14.998,15.009,14.998,14.998
Wed Jul 17 12:30:40 2024,15.002,14.984,15.002,14.993,15.0,15.002
Wed Jul 17 12:30:59 2024,14.998,15.003,14.99,14.993,15.004,14.999
Wed Jul 17 12:31:18 2024,15.002,15.001,15.002,14.996,15.002,14.999
Wed Jul 17 12:31:37 2024,15.0,15.012,14.991,14.999,15.003,15.004
Wed Jul 17 12:31:56 2024,15.003,15.001,14.997,14.998,14.998,14.998
Wed Jul 17 12:33:30 2024,15.003,14.73,14.992,14.998,15.0,15.003
Wed Jul 17 12:33:49 2024,15.0,15.005,14.995,14.997,14.998,15.004
Wed Jul 17 12:34:08 2024,15.002,15.007,14.985,14.997,14.998,15.002
Wed Jul 17 12:34:27 2024,14.998,14.999,14.999,15.022,15.0,15.004
Wed Jul 17 12:34:46 2024,15.0,15.0,14.998,15.005,14.997,14.996
Wed Jul 17 12:35:05 2024,14.995,14.985,15.004,15.012,15.002,15.005
Wed Jul 17 12:35:24 2024,14.998,14.983,15.017,15.001,14.996,14.998
Wed Jul 17 12:35:43 2024,14.998,14.988,15.009,15.004,14.998,15.002
Wed Jul 17 12:36:02 2024,15.002,15.004,15.001,14.996,15.002,14.997
Wed Jul 17 12:36:21 2024,15.0,15.004,15.027,14.99,14.999,14.999
Wed Jul 17 12:36:40 2024,15.0,14.995,15.01,14.998,14.998,15.0
Wed Jul 17 12:36:59 2024,15.003,15.002,14.99,15.002,15.002,14.999
Wed Jul 17 12:37:18 2024,14.998,14.999,14.994,14.984,15.004,15.002
Wed Jul 17 12:37:37 2024,14.998,14.972,14.996,14.988,15.002,15.001
Wed Jul 17 12:39:02 2024,15.002,15.011,14.988,14.995,15.002,15.002
Wed Jul 17 12:39:17 2024,14.998,15.005,15.023,14.993,14.997,15.005
Wed Jul 17 12:39:32 2024,14.989,14.977,14.998,14.988,15.003,15.005
Wed Jul 17 12:39:51 2024,15.0,14.988,15.005,14.997,15.0,14.999
Wed Jul 17 12:40:10 2024,15.002,14.91,15.002,14.987,15.001,15.0
Wed Jul 17 12:40:29 2024,15.0,15.008,14.993,14.998,15.002,15.001
Wed Jul 17 12:40:48 2024,14.998,15.006,14.997,14.998,14.998,14.997
Wed Jul 17 12:41:07 2024,15.0,14.998,15.004,15.0,14.999,14.996
Wed Jul 17 12:41:26 2024,15.003,15.001,14.996,14.998,14.998,15.001
Wed Jul 17 12:41:45 2024,15.005,14.994,15.02,14.998,14.996,14.998
Wed Jul 17 12:42:04 2024,15.005,14.959,15.002,14.993,15.002,14.998
Wed Jul 17 12:42:23 2024,14.998,15.011,15.009,15.0,14.998,14.995
Wed Jul 17 12:42:42 2024,15.0,14.999,14.989,14.999,15.003,15.002
Wed Jul 17 12:43:01 2024,15.003,15.009,14.993,15.008,14.999,15.0
Wed Jul 17 12:44:35 2024,14.997,14.962,15.01,15.01,15.002,15.002
Wed Jul 17 12:44:54 2024,14.997,15.011,15.002,14.998,14.998,15.004
Wed Jul 17 12:45:13 2024,14.998,15.002,14.995,14.99,15.003,15.005
Wed Jul 17 12:45:32 2024,15.0,15.009,15.004,14.986,14.999,14.999
Wed Jul 17 12:45:51 2024,14.998,14.998,15.014,14.995,14.998,14.998
Wed Jul 17 12:46:10 2024,15.0,14.999,15.001,15.006,14.999,15.0
Wed Jul 17 12:46:29 2024,14.997,14.999,15.002,14.993,15.002,14.999
Wed Jul 17 12:46:48 2024,14.997,15.041,15.001,15.005,14.997,14.998
Wed Jul 17 12:47:07 2024,15.002,14.995,15.012,15.012,14.996,14.996
Wed Jul 17 12:47:26 2024,14.998,14.903,14.995,15.016,14.998,15.002
Wed Jul 17 12:47:45 2024,14.997,15.005,14.986,15.007,15.002,15.001
Wed Jul 17 12:48:04 2024,15.0,15.009,15.007,14.998,14.999,15.002
Wed Jul 17 12:48:22 2024,14.998,14.998,15.005,15.004,14.999,15.002
Wed Jul 17 12:48:41 2024,15.0,14.998,15.009,15.006,14.998,15.002
Wed Jul 17 12:50:06 2024,14.998,14.998,14.989,14.99,15.001,15.002
Wed Jul 17 12:50:25 2024,15.002,14.999,15.001,14.992,15.001,14.999
Wed Jul 17 12:50:44 2024,15.0,15.005,15.005,14.992,15.0,14.998
Wed Jul 17 12:51:03 2024,14.998,15.008,14.991,14.994,14.999,14.997
Wed Jul 17 12:51:22 2024,14.998,14.968,14.996,15.009,15.002,14.999
Wed Jul 17 12:51:41 2024,15.0,15.004,15.019,14.997,14.997,14.995
