Time,1,2,3,4,5,6
Thu May 30 15:44:54 2024,15.002,15.0,15.001,15.003,15.001,15.001
Thu May 30 15:45:08 2024,14.994,15.014,15.001,15.033,14.997,15.004
Thu May 30 15:45:23 2024,14.995,15.001,15.0,14.998,15.0,15.001
Thu May 30 15:45:38 2024,15.0,15.001,15.001,14.999,15.0,14.998
Thu May 30 15:45:53 2024,15.009,14.999,15.001,15.001,14.999,15.001
Thu May 30 15:46:08 2024,15.0,15.001,15.001,15.002,15.001,15.001
Thu May 30 15:46:23 2024,14.995,14.997,14.998,15.005,14.998,14.996
Thu May 30 15:46:37 2024,15.006,15.0,15.001,15.003,14.999,14.999
Thu May 30 15:46:52 2024,14.998,15.0,15.0,14.998,14.999,15.0
Thu May 30 15:47:07 2024,14.998,14.997,15.0,15.0,15.0,15.0
Thu May 30 15:47:22 2024,15.0,15.0,15.0,15.002,15.0,15.0
Thu May 30 15:47:37 2024,15.006,15.0,15.0,14.999,15.0,15.0
Thu May 30 15:47:51 2024,14.998,15.0,15.0,15.0,15.001,15.002
Thu May 30 15:48:06 2024,15.002,15.0,15.0,15.003,15.0,14.998
Thu May 30 15:48:21 2024,14.997,15.0,15.0,14.999,15.0,15.0
Thu May 30 15:48:36 2024,15.0,15.002,14.999,14.999,15.0,15.0
Thu May 30 15:48:51 2024,15.005,14.998,15.001,15.0,14.999,15.0
Thu May 30 15:49:06 2024,14.994,15.0,15.0,14.998,14.998,15.0
Thu May 30 15:49:20 2024,15.003,15.0,15.0,14.998,15.001,14.998
Thu May 30 15:49:35 2024,14.997,15.0,15.0,15.0,15.003,15.002
Thu May 30 15:49:50 2024,14.994,15.0,15.0,15.0,15.0,15.002
Thu May 30 15:50:05 2024,15.002,15.0,15.001,15.0,15.0,14.998
Thu May 30 15:50:20 2024,14.998,15.0,15.0,14.999,14.998,15.002
Thu May 30 15:50:34 2024,15.006,15.0,15.0,15.003,14.998,15.001
Thu May 30 15:50:49 2024,14.995,15.0,15.001,14.998,15.0,15.001
Thu May 30 15:51:04 2024,14.998,15.004,15.0,14.998,15.0,14.999
Thu May 30 15:51:19 2024,14.995,14.999,14.999,14.996,15.0,15.0
Thu May 30 15:51:34 2024,15.009,14.999,15.0,14.998,15.0,15.002
Thu May 30 15:51:49 2024,14.995,14.999,15.0,14.998,14.999,14.999
Thu May 30 15:52:03 2024,15.002,14.999,15.0,14.998,14.999,14.999
Thu May 30 15:52:18 2024,15.0,14.999,15.0,15.002,15.001,14.999
Thu May 30 15:52:33 2024,15.006,15.002,15.0,15.0,15.002,15.002
