Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-038,inficon_gc,eeac0313-35ae-424f-bb88-58cef8a10f2c,1717103781.5957706,0.0,0,75.075,0,74.0925,53.24623489379883,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,82397b2e-6837-4045-b884-4bfc65257e58,1717104265.0901315,0.0,0,75.075,0,74.0925,214.25106811523438,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,d7ec5073-d87a-425e-a1ec-539e91836af4,1717104748.70998,0.0,0,75.075,0,74.0925,375.50103759765625,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,bbb329d3-1ad7-4e09-87b1-d756ee5f87a8,1717105231.9836032,0.0,0,75.075,0,74.0925,536.5821533203125,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,472cf318-756a-4f5d-8629-1104955c5c98,1717105714.6976109,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,2cdd1912-25e3-4a21-9dce-c352876b2c38,1717106198.3187988,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,c45af450-1e55-4f5a-b829-9346651e0ead,1717106682.162357,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-038,inficon_gc,cc9028ee-31e1-4d1c-990e-bf615e25fb9a,1717108965.6251166,0.0,0,119.119,0,0.0,550.0,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,32294044-3a4c-417a-be95-6b7f1c2a7ad6,1717109307.3215222,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,feeea961-61b2-4392-b471-bf0afae370b2,1717109649.0972693,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,6cfd58d2-7645-4f0f-8cf4-a07d6bbc51e3,1717109990.822506,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,e3dd2007-b494-45e1-8cef-65c742fe8a2f,1717110332.3789043,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,b57f3623-48d1-414f-a702-6420efe2ee3e,1717110673.844255,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,b3eae3c8-1349-473f-8f28-f67db72d8452,1717111009.670077,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,a5f63ff1-3305-47c7-b87a-2303d6949797,1717111345.1789374,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,baf048b2-69f6-4be9-ba55-222688c63c9f,1717111680.5479054,0.0,0,119.119,0,0.0,554.44140625,1.0,0.0,9,0,0,1,15
24-038,inficon_gc,f6c65f26-400b-4fd7-9acb-7cdadb486c99,1717112250.9440193,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,2,0,3,1,15
24-038,inficon_gc,431b046d-d928-43d9-8ec4-54c6bee4a1c5,1717112592.848104,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,2,0,3,1,15
24-038,inficon_gc,d662b621-a2ee-42cb-b733-2435b13c8ad5,1717112934.5514297,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,1,0,3,2,15
24-038,inficon_gc,144fc741-a502-4877-a6a6-99e779145efb,1717113268.610675,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,1,0,3,3,15
24-038,inficon_gc,f77716cb-430d-4325-82a2-fff635720393,1717113603.2371094,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,1,0,3,4,15
24-038,inficon_gc,7075de7f-8bce-4161-bd27-a194404e3d3a,1717113937.574766,57.2025,0,75.075,0,0.0,554.44140625,-1.0,0.0,1,0,3,5,15
