Time,1,2,3,4,5,6
Wed Apr  3 14:00:41 2024,15.833,15.198,15.223,15.425,15.191,16.446
Wed Apr  3 14:00:56 2024,15.048,15.02,15.029,15.03,15.026,15.03
Wed Apr  3 14:01:11 2024,15.009,15.003,15.003,15.005,15.001,14.999
Wed Apr  3 14:01:26 2024,14.998,14.996,15.001,15.001,15.0,15.002
Wed Apr  3 14:01:41 2024,14.994,15.002,14.997,14.998,14.998,14.999
Wed Apr  3 14:01:56 2024,15.0,15.0,14.998,15.002,15.002,15.001
Wed Apr  3 14:02:11 2024,14.998,15.002,15.001,14.992,15.003,15.001
Wed Apr  3 14:02:26 2024,15.0,14.999,15.0,15.003,15.002,14.999
Wed Apr  3 14:02:40 2024,15.002,15.0,14.999,15.001,15.0,15.0
Wed Apr  3 14:02:55 2024,14.998,14.998,14.999,14.991,15.0,14.999
Wed Apr  3 14:03:10 2024,15.0,14.999,15.0,15.001,14.999,14.999
Wed Apr  3 14:03:25 2024,15.0,15.0,15.0,15.001,15.0,14.999
Wed Apr  3 14:03:40 2024,14.995,14.998,15.0,15.003,15.001,15.0
Wed Apr  3 14:03:55 2024,14.994,15.0,14.996,15.002,15.001,15.0
Wed Apr  3 14:04:10 2024,15.0,14.999,15.0,14.998,14.998,14.999
Wed Apr  3 14:04:25 2024,14.998,14.999,15.001,15.001,15.001,15.0
Wed Apr  3 14:04:40 2024,15.0,15.002,15.0,14.997,15.0,14.997
Wed Apr  3 14:04:55 2024,15.0,14.999,15.002,14.998,15.002,14.999
Wed Apr  3 14:05:10 2024,15.005,15.0,15.002,14.998,15.001,15.002
Wed Apr  3 14:05:24 2024,15.0,14.999,14.998,15.002,14.997,14.999
Wed Apr  3 14:05:39 2024,15.003,15.0,15.001,15.001,14.998,14.999
Wed Apr  3 14:05:55 2024,15.0,15.0,14.996,14.998,15.001,15.001
Wed Apr  3 14:07:20 2024,14.998,15.0,15.0,14.997,15.0,15.0
Wed Apr  3 14:07:39 2024,15.0,15.0,15.002,14.999,14.999,15.0
Wed Apr  3 14:07:58 2024,14.998,15.001,14.999,15.001,15.0,15.001
Wed Apr  3 14:08:17 2024,15.002,15.001,15.001,15.002,14.998,15.001
Wed Apr  3 14:08:36 2024,15.0,15.001,14.998,14.995,15.0,14.999
Wed Apr  3 14:08:56 2024,15.0,14.998,14.999,14.999,15.001,14.999
Wed Apr  3 14:09:15 2024,14.997,14.999,15.0,14.998,15.002,14.998
Wed Apr  3 14:09:34 2024,15.002,15.001,15.002,15.0,15.001,15.0
Wed Apr  3 14:09:53 2024,15.002,15.0,15.001,14.996,15.0,15.0
Wed Apr  3 14:10:12 2024,14.998,15.002,15.002,15.0,15.001,14.996
Wed Apr  3 14:10:31 2024,15.002,15.0,15.0,15.005,14.998,15.0
Wed Apr  3 14:10:50 2024,15.0,15.001,15.0,15.001,14.999,14.998
Wed Apr  3 14:11:09 2024,14.998,15.0,15.0,14.999,15.0,14.998
Wed Apr  3 14:11:29 2024,15.002,15.001,14.998,14.998,15.001,15.0
Wed Apr  3 14:11:47 2024,15.0,14.998,14.998,15.002,15.0,15.002
Wed Apr  3 14:12:06 2024,14.998,15.0,15.0,15.003,14.999,15.0
Wed Apr  3 14:12:26 2024,14.998,15.0,15.002,15.001,15.0,14.998
Wed Apr  3 14:12:45 2024,15.0,15.004,15.002,15.006,15.009,15.001
Wed Apr  3 14:13:04 2024,15.002,15.0,14.999,15.0,14.998,15.001
Wed Apr  3 14:13:23 2024,15.003,14.997,15.001,14.999,15.001,14.998
Wed Apr  3 14:13:42 2024,14.998,15.0,14.999,15.0,15.0,15.002
Wed Apr  3 14:14:01 2024,15.0,14.998,15.001,15.002,15.0,14.997
Wed Apr  3 14:15:26 2024,15.002,15.0,15.001,14.996,15.0,15.0
Wed Apr  3 14:15:45 2024,15.005,14.999,14.998,15.0,14.999,14.999
Wed Apr  3 14:16:04 2024,14.998,15.0,15.001,14.999,15.0,14.999
Wed Apr  3 14:16:23 2024,14.998,14.999,14.998,14.998,15.0,14.998
Wed Apr  3 14:16:42 2024,15.002,15.0,15.0,15.0,15.0,14.999
Wed Apr  3 14:17:01 2024,15.0,15.002,14.999,15.0,14.997,14.999
Wed Apr  3 14:17:20 2024,14.998,14.998,15.002,15.0,14.997,14.999
Wed Apr  3 14:17:39 2024,15.003,14.999,15.0,15.0,15.0,15.0
Wed Apr  3 14:17:58 2024,15.0,15.002,14.999,15.0,14.999,15.0
Wed Apr  3 14:18:18 2024,15.002,14.999,15.002,14.998,14.998,15.0
Wed Apr  3 14:18:37 2024,15.0,15.001,15.0,14.997,14.996,15.0
Wed Apr  3 14:18:56 2024,15.0,15.0,15.0,14.998,14.998,15.0
Wed Apr  3 14:19:15 2024,15.002,15.0,14.996,15.0,14.999,15.002
Wed Apr  3 14:19:34 2024,14.995,15.002,15.0,14.998,15.001,15.0
Wed Apr  3 14:19:53 2024,15.0,15.001,15.0,14.995,14.999,14.999
Wed Apr  3 14:20:12 2024,14.992,14.996,15.0,14.999,15.001,15.001
Wed Apr  3 14:20:31 2024,14.998,15.001,15.001,14.999,15.0,15.001
Wed Apr  3 14:20:49 2024,15.002,15.0,15.0,14.999,14.998,15.001
Wed Apr  3 14:21:08 2024,15.0,15.002,15.0,14.999,14.995,14.999
Wed Apr  3 14:21:27 2024,15.0,15.0,14.999,14.999,15.0,15.002
Wed Apr  3 14:21:46 2024,14.997,14.999,15.0,14.999,14.999,15.0
Wed Apr  3 14:22:05 2024,15.002,15.003,15.0,14.997,15.002,14.999
Wed Apr  3 14:23:31 2024,14.995,15.002,15.0,14.998,14.998,15.001
Wed Apr  3 14:23:50 2024,15.0,15.0,15.001,15.001,14.998,15.0
Wed Apr  3 14:24:09 2024,15.0,15.001,14.998,14.999,14.999,14.999
Wed Apr  3 14:24:28 2024,15.002,15.0,14.998,15.0,15.0,14.998
Wed Apr  3 14:24:47 2024,15.0,15.002,15.001,15.002,15.0,15.0
Wed Apr  3 14:25:06 2024,15.0,14.997,15.0,14.999,14.997,14.999
Wed Apr  3 14:25:26 2024,14.978,15.0,15.001,14.999,15.001,15.002
Wed Apr  3 14:25:45 2024,15.0,15.0,14.999,14.999,15.002,15.0
Wed Apr  3 14:26:04 2024,15.006,15.001,15.0,15.001,14.999,15.001
Wed Apr  3 14:26:23 2024,15.0,15.002,15.002,15.0,15.0,15.0
Wed Apr  3 14:26:42 2024,15.0,15.0,15.001,15.0,15.0,14.998
Wed Apr  3 14:27:01 2024,14.998,15.0,15.0,14.997,15.0,14.998
Wed Apr  3 14:27:20 2024,14.998,14.999,15.0,14.998,15.0,15.0
Wed Apr  3 14:27:40 2024,15.0,15.0,15.002,15.001,15.0,15.0
Wed Apr  3 14:27:58 2024,15.0,14.998,14.998,14.997,14.996,15.0
Wed Apr  3 14:28:18 2024,15.002,15.001,15.001,15.001,15.002,15.0
Wed Apr  3 14:28:37 2024,15.003,15.0,15.0,14.999,15.001,15.002
Wed Apr  3 14:28:56 2024,14.997,15.0,15.0,14.999,15.001,15.0
Wed Apr  3 14:29:15 2024,14.998,14.999,15.0,14.995,14.999,15.0
Wed Apr  3 14:29:34 2024,15.005,15.002,15.002,15.0,15.0,15.003
Wed Apr  3 14:29:53 2024,15.002,15.0,14.997,15.001,15.0,15.003
Wed Apr  3 14:30:12 2024,15.002,15.0,15.0,15.0,14.999,15.001
Wed Apr  3 14:31:37 2024,14.998,14.999,14.998,14.999,15.0,14.998
Wed Apr  3 14:31:56 2024,15.0,15.0,14.999,15.0,15.0,15.0
Wed Apr  3 14:32:15 2024,15.002,15.0,15.0,15.0,15.003,15.0
Wed Apr  3 14:32:34 2024,15.0,15.002,14.999,15.0,15.002,15.002
Wed Apr  3 14:32:54 2024,14.998,14.997,15.0,14.999,15.0,15.001
Wed Apr  3 14:33:13 2024,14.998,15.0,15.002,15.002,15.001,15.001
Wed Apr  3 14:33:32 2024,15.002,15.0,15.001,14.997,15.0,15.001
Wed Apr  3 14:33:51 2024,14.998,15.0,14.998,14.999,14.999,15.0
Wed Apr  3 14:34:10 2024,14.998,15.003,15.0,14.998,14.999,15.0
Wed Apr  3 14:34:29 2024,15.0,14.999,15.0,15.0,14.998,15.001
Wed Apr  3 14:34:48 2024,15.0,14.998,14.999,14.999,14.998,15.001
Wed Apr  3 14:35:07 2024,14.998,15.0,14.999,15.0,15.002,15.001
Wed Apr  3 14:35:26 2024,15.003,14.999,14.999,15.0,14.998,15.001
Wed Apr  3 14:35:45 2024,15.002,15.0,14.998,15.0,14.998,15.002
Wed Apr  3 14:36:04 2024,14.997,14.998,15.0,14.998,15.0,15.001
Wed Apr  3 14:36:23 2024,15.0,15.0,15.0,15.0,15.0,15.0
Wed Apr  3 14:36:42 2024,15.002,14.998,14.999,14.999,15.0,15.001
Wed Apr  3 14:37:01 2024,14.997,15.0,15.0,15.0,15.0,15.0
Wed Apr  3 14:37:20 2024,14.998,15.0,14.999,14.999,14.999,14.999
Wed Apr  3 14:37:39 2024,15.0,14.999,15.0,14.999,15.0,15.002
Wed Apr  3 14:37:58 2024,15.0,15.0,14.999,15.001,15.001,14.999
Wed Apr  3 14:38:17 2024,14.998,15.001,14.999,14.998,15.0,15.001
Wed Apr  3 14:39:42 2024,15.002,14.998,14.999,14.999,14.999,15.002
Wed Apr  3 14:40:01 2024,14.998,14.999,14.998,14.999,14.999,15.0
Wed Apr  3 14:40:20 2024,14.998,15.002,14.999,14.999,15.0,15.0
Wed Apr  3 14:40:40 2024,15.003,15.001,15.0,15.0,15.0,15.0
Wed Apr  3 14:40:59 2024,15.0,15.0,15.0,15.0,15.0,15.003
Wed Apr  3 14:41:18 2024,15.0,15.0,15.0,14.999,15.0,15.002
Wed Apr  3 14:41:37 2024,15.0,14.999,15.001,14.999,15.0,15.0
Wed Apr  3 14:41:57 2024,15.0,14.999,15.001,15.0,15.0,15.0
Wed Apr  3 14:42:16 2024,15.0,15.002,14.999,14.999,15.0,15.001
Wed Apr  3 14:42:35 2024,15.002,15.001,15.0,14.998,15.003,15.001
Wed Apr  3 14:42:54 2024,15.002,15.0,15.0,15.001,15.0,15.0
Wed Apr  3 14:43:13 2024,14.997,14.999,14.999,15.001,15.001,15.0
Wed Apr  3 14:43:32 2024,14.997,15.0,15.0,15.0,15.001,14.999
Wed Apr  3 14:43:51 2024,15.0,15.004,15.0,15.0,15.0,14.997
Wed Apr  3 14:44:11 2024,15.0,14.998,14.999,15.0,15.0,15.0
Wed Apr  3 14:44:30 2024,15.0,14.999,15.002,15.001,15.001,15.0
Wed Apr  3 14:44:49 2024,15.0,15.0,15.001,15.002,14.999,15.0
Wed Apr  3 14:45:08 2024,14.998,15.001,14.996,14.998,15.0,15.0
Wed Apr  3 14:45:27 2024,15.0,15.0,15.0,15.0,15.002,15.0
Wed Apr  3 14:45:46 2024,15.0,15.0,15.001,15.001,15.0,14.999
Wed Apr  3 14:46:05 2024,15.0,14.998,15.0,15.0,14.998,14.997
Wed Apr  3 14:46:24 2024,14.998,14.997,15.0,14.998,15.001,14.998
Wed Apr  3 14:47:50 2024,14.998,15.001,15.001,14.999,15.001,14.999
Wed Apr  3 14:48:09 2024,15.002,15.0,15.0,15.003,15.0,14.999
Wed Apr  3 14:48:28 2024,15.003,14.999,14.999,15.002,14.999,14.998
Wed Apr  3 14:48:47 2024,15.0,15.002,15.0,15.0,15.0,14.999
