Time,Current SP,R1,R2,R3,R4,R5,R6
Tue May  7 09:34:15 2024,25.0,23.951507568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:20 2024,25.0,23.89483642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:26 2024,25.0,23.816680908203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:32 2024,25.0,23.849395751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:38 2024,25.0,23.84307861328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:44 2024,25.0,23.794708251953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:49 2024,25.0,23.85772705078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:34:55 2024,25.0,23.855743408203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:01 2024,25.0,23.792755126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:07 2024,25.0,23.855743408203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:12 2024,25.0,23.825469970703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:18 2024,25.0,23.91680908203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:24 2024,25.0,23.973480224609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:30 2024,25.0,23.89971923828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:38 2024,25.0,23.977874755859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:44 2024,25.0,23.967132568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:49 2024,25.0,23.97149658203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:35:57 2024,25.0,23.993011474609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:03 2024,25.0,23.940765380859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:08 2024,25.0,23.90802001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:16 2024,25.0,23.858184814453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:22 2024,25.0,23.938812255859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:27 2024,25.0,23.977874755859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:35 2024,25.0,23.95196533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:41 2024,25.0,23.88018798828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:46 2024,25.0,23.91925048828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:36:54 2024,25.0,23.993011474609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:00 2024,25.0,23.83135986328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:05 2024,25.0,23.901214599609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:13 2024,25.0,23.799102783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:19 2024,25.0,23.905609130859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:24 2024,25.0,23.82501220703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:32 2024,25.0,23.87969970703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
