Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Tue Aug 13 11:14:59 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.10374999999999,50.48501205444336,23.571197509765625,0.0,0,0,0,1,15.000666666666667
Tue Aug 13 11:15:07 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.09625,50.48609161376953,23.512542724609375,0.0,0,0,0,1,15.000666666666667
Tue Aug 13 11:15:15 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.10374999999999,50.48945617675781,23.438262939453125,0.0,0,0,0,1,14.9995
Tue Aug 13 11:15:23 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.08125,50.48949432373047,23.423126220703125,0.0,0,0,0,1,14.9995
Tue Aug 13 11:15:30 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08875,50.488197326660156,23.418731689453125,0.0,0,0,0,1,15.0
Tue Aug 13 11:15:38 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.10374999999999,50.486942291259766,23.47100830078125,0.0,0,0,0,1,15.0
Tue Aug 13 11:15:45 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.10000000000001,50.49297332763672,23.5360107421875,0.0,0,0,0,1,15.001
Tue Aug 13 11:15:53 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.10000000000001,50.49052429199219,23.464202880859375,0.0,0,0,0,1,15.001
Tue Aug 13 11:16:00 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08500000000001,50.49474334716797,23.510101318359375,0.0,0,0,0,1,15.0
Tue Aug 13 11:16:08 2024,24-064,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.0925,50.49330139160156,23.394805908203125,0.0,0,0,0,1,15.0
