Time,1,2,3,4,5,6
Tue Jul  9 14:19:12 2024,14.991,14.908,14.97,14.978,14.973,14.959
Tue Jul  9 14:19:27 2024,15.02,14.999,14.998,14.998,15.0,14.993
Tue Jul  9 14:19:42 2024,14.995,15.0,14.995,14.999,14.998,14.928
Tue Jul  9 14:19:57 2024,14.995,15.0,15.0,14.995,14.999,15.016
Tue Jul  9 14:20:11 2024,14.997,15.002,15.002,15.004,15.005,15.005
Tue Jul  9 14:20:26 2024,14.983,15.002,15.001,15.002,15.002,15.006
Tue Jul  9 14:20:41 2024,14.995,14.997,14.995,14.993,14.993,15.012
Tue Jul  9 14:20:56 2024,15.0,14.998,14.998,14.998,15.0,15.009
Tue Jul  9 14:21:11 2024,14.983,14.999,15.0,15.002,14.999,14.995
Tue Jul  9 14:21:26 2024,15.002,15.001,15.001,15.001,14.999,14.999
Tue Jul  9 14:21:40 2024,15.002,15.0,15.002,15.001,14.998,15.0
Tue Jul  9 14:21:55 2024,15.0,15.0,15.0,14.998,15.001,15.002
Tue Jul  9 14:22:10 2024,15.002,15.001,14.999,15.0,15.001,14.999
Tue Jul  9 14:22:25 2024,14.998,15.001,15.001,15.001,15.0,15.002
Tue Jul  9 14:22:40 2024,15.016,14.999,15.001,15.002,14.998,14.999
Tue Jul  9 14:22:55 2024,15.0,14.999,14.999,14.999,15.0,15.0
Tue Jul  9 14:23:09 2024,15.006,14.999,15.001,15.0,15.0,15.0
Tue Jul  9 14:23:24 2024,14.998,15.001,15.002,14.998,15.0,15.0
Tue Jul  9 14:23:39 2024,14.997,15.0,14.999,14.998,15.0,15.0
Tue Jul  9 14:23:54 2024,14.997,15.0,15.001,15.002,15.0,15.001
Tue Jul  9 14:24:09 2024,15.0,15.0,15.0,15.0,15.0,15.001
Tue Jul  9 14:24:24 2024,15.002,15.0,14.999,15.003,15.0,15.0
Tue Jul  9 14:25:49 2024,14.995,15.001,14.999,14.998,14.998,14.999
Tue Jul  9 14:26:08 2024,14.998,15.001,15.002,15.0,15.0,14.999
Tue Jul  9 14:26:27 2024,14.998,15.001,14.999,15.0,15.0,15.001
Tue Jul  9 14:26:46 2024,15.0,14.997,15.001,15.0,15.0,14.998
Tue Jul  9 14:27:05 2024,15.002,14.999,14.999,15.0,14.999,15.002
Tue Jul  9 14:27:24 2024,14.997,15.0,15.001,15.0,14.999,14.998
Tue Jul  9 14:27:43 2024,14.997,15.005,14.998,14.999,15.0,15.002
Tue Jul  9 14:28:02 2024,14.997,15.0,14.999,14.998,15.0,15.0
Tue Jul  9 14:28:21 2024,14.998,15.0,15.002,15.001,14.998,14.998
Tue Jul  9 14:28:41 2024,15.002,15.0,15.0,14.999,15.0,15.002
Tue Jul  9 14:29:00 2024,15.0,15.0,15.0,14.999,14.999,14.998
Tue Jul  9 14:29:19 2024,15.002,15.001,15.0,15.001,15.002,14.995
Tue Jul  9 14:29:38 2024,15.002,15.0,15.0,15.002,14.998,14.997
Tue Jul  9 14:29:57 2024,15.002,15.001,15.002,15.001,15.002,14.995
Tue Jul  9 14:30:16 2024,14.998,15.001,14.999,15.0,14.999,15.0
Tue Jul  9 14:30:34 2024,15.002,15.003,14.998,14.999,14.999,15.004
Tue Jul  9 14:30:53 2024,14.998,15.0,15.0,15.001,14.999,15.005
Tue Jul  9 14:31:12 2024,14.995,15.0,15.001,14.999,15.0,15.004
Tue Jul  9 14:31:31 2024,14.998,15.0,14.999,15.002,15.002,15.003
Tue Jul  9 14:31:50 2024,15.002,14.999,15.0,15.001,15.0,14.999
Tue Jul  9 14:32:08 2024,14.998,15.002,15.0,15.0,15.002,14.997
Tue Jul  9 14:32:27 2024,14.998,14.998,15.002,15.001,15.0,14.993
Tue Jul  9 14:33:52 2024,15.003,15.001,14.998,15.002,14.999,14.994
