Time,1,2,3,4,5,6
Thu Feb  1 00:39:18 2024,14.914,14.983,14.994,15.006,14.995,15.026
Thu Feb  1 00:39:37 2024,15.459,14.973,14.998,15.014,15.004,15.0
Thu Feb  1 00:41:02 2024,14.977,14.998,15.004,14.99,14.998,15.034
Thu Feb  1 00:41:17 2024,15.022,15.003,14.991,15.002,14.999,15.02
Thu Feb  1 00:41:32 2024,14.833,14.998,15.0,15.007,14.992,14.995
Thu Feb  1 00:41:47 2024,14.909,15.011,15.006,15.02,15.008,14.994
Thu Feb  1 00:42:02 2024,14.863,15.001,14.991,15.021,15.023,14.975
Thu Feb  1 00:42:18 2024,15.078,15.605,14.988,15.021,15.0,15.0
Thu Feb  1 00:42:37 2024,15.012,15.057,14.98,15.023,15.003,15.007
Thu Feb  1 00:42:56 2024,15.009,14.961,14.996,14.995,14.994,15.011
Thu Feb  1 00:43:15 2024,14.964,15.22,14.995,15.008,15.002,15.012
Thu Feb  1 00:43:34 2024,15.055,15.017,15.0,15.009,14.999,14.966
Thu Feb  1 00:43:53 2024,15.006,14.981,14.997,15.005,15.002,15.003
Thu Feb  1 00:44:13 2024,15.014,15.07,14.99,15.01,15.0,15.012
Thu Feb  1 00:44:32 2024,14.922,15.016,14.991,14.972,14.996,14.994
Thu Feb  1 00:44:51 2024,15.344,15.032,15.004,15.007,14.996,14.989
Thu Feb  1 00:45:10 2024,14.922,14.97,15.009,14.995,15.007,14.991
Thu Feb  1 00:46:35 2024,15.15,14.948,14.998,14.989,15.009,15.001
Thu Feb  1 00:46:54 2024,15.031,15.028,14.996,15.023,14.998,15.009
Thu Feb  1 00:47:13 2024,14.833,15.016,14.984,14.97,15.002,15.005
Thu Feb  1 00:47:32 2024,14.942,15.006,14.992,15.015,14.987,14.989
Thu Feb  1 00:47:51 2024,14.938,15.012,15.133,14.963,14.976,15.018
Thu Feb  1 00:48:11 2024,15.025,14.96,15.002,15.028,15.022,15.004
Thu Feb  1 00:48:30 2024,14.911,14.996,14.988,14.982,14.975,15.031
Thu Feb  1 00:48:49 2024,14.964,14.966,15.005,14.997,15.001,15.007
Thu Feb  1 00:49:08 2024,14.97,14.867,15.0,15.005,15.002,14.991
Thu Feb  1 00:49:28 2024,14.977,14.795,15.001,14.998,14.973,14.988
Thu Feb  1 00:49:47 2024,15.012,15.014,15.005,15.01,15.007,15.009
Thu Feb  1 00:50:06 2024,15.02,15.043,15.007,14.976,14.987,15.001
Thu Feb  1 00:50:25 2024,15.019,15.35,14.997,15.013,14.998,14.985
Thu Feb  1 00:50:44 2024,14.98,15.018,15.001,14.994,15.016,14.988
Thu Feb  1 00:52:09 2024,14.986,15.032,15.009,14.995,15.023,14.994
Thu Feb  1 00:52:28 2024,14.916,14.954,14.996,14.973,14.997,14.994
Thu Feb  1 00:52:47 2024,14.994,14.994,14.988,14.994,14.998,14.984
Thu Feb  1 00:53:06 2024,15.025,14.993,14.98,15.005,15.007,15.012
Thu Feb  1 00:53:25 2024,15.07,14.95,14.997,14.998,14.995,15.012
Thu Feb  1 00:53:44 2024,15.109,15.02,14.998,14.985,14.998,14.994
Thu Feb  1 00:54:04 2024,15.409,14.962,15.0,15.005,14.97,14.998
Thu Feb  1 00:54:23 2024,15.08,14.868,14.992,14.964,14.998,14.995
Thu Feb  1 00:54:42 2024,15.022,14.884,14.997,14.995,14.998,15.003
Thu Feb  1 00:55:01 2024,14.856,14.951,14.999,15.003,15.005,15.016
Thu Feb  1 00:55:20 2024,14.738,14.996,15.009,15.008,15.012,15.013
Thu Feb  1 00:55:39 2024,15.617,14.984,14.993,15.021,15.001,14.968
Thu Feb  1 00:55:58 2024,14.809,15.031,15.002,15.02,14.999,14.985
Thu Feb  1 00:56:17 2024,14.875,15.867,14.959,14.978,15.022,15.021
Thu Feb  1 00:57:42 2024,14.894,14.909,15.003,14.997,15.008,14.983
Thu Feb  1 00:57:57 2024,15.034,15.019,14.998,14.996,15.006,14.989
Thu Feb  1 00:58:12 2024,15.086,15.007,14.997,15.002,14.998,14.995
Thu Feb  1 00:58:27 2024,14.931,14.798,15.001,14.994,14.998,15.007
Thu Feb  1 00:58:43 2024,15.041,14.946,15.004,14.986,15.002,14.98
Thu Feb  1 00:58:58 2024,15.064,15.058,15.002,14.996,15.01,15.023
Thu Feb  1 00:59:17 2024,14.847,15.148,14.999,14.988,15.005,14.996
Thu Feb  1 00:59:36 2024,14.986,14.986,15.0,14.991,15.012,14.994
Thu Feb  1 00:59:55 2024,14.977,15.009,15.0,15.005,14.988,14.967
Thu Feb  1 01:00:15 2024,14.906,14.88,14.998,15.009,14.983,15.024
Thu Feb  1 01:00:34 2024,15.089,15.01,14.998,15.003,15.004,15.015
Thu Feb  1 01:00:53 2024,15.017,14.924,14.998,14.99,14.995,14.978
