Time,2,3,4,5,6
Tue Jan 30 07:50:29 2024,14.99,14.977,14.941,14.979,14.959
Tue Jan 30 07:51:54 2024,15.016,14.975,15.012,15.002,14.988
Tue Jan 30 07:52:13 2024,15.021,14.998,14.999,14.988,15.007
Tue Jan 30 07:52:32 2024,15.023,14.991,15.011,14.991,15.012
Tue Jan 30 07:52:51 2024,15.02,15.005,15.013,15.012,15.009
Tue Jan 30 07:53:10 2024,14.979,14.973,14.994,14.996,15.002
Tue Jan 30 07:53:29 2024,15.06,14.999,15.019,15.007,14.989
Tue Jan 30 07:53:48 2024,15.0,15.004,14.993,15.015,14.998
Tue Jan 30 07:54:07 2024,15.003,15.01,14.993,14.993,15.002
Tue Jan 30 07:54:26 2024,15.022,14.996,15.031,15.024,14.998
Tue Jan 30 07:54:46 2024,15.022,14.993,14.998,14.992,14.989
Tue Jan 30 07:55:05 2024,14.96,14.988,15.007,14.991,14.997
Tue Jan 30 07:55:24 2024,15.052,14.998,14.999,14.999,14.984
Tue Jan 30 07:55:43 2024,15.423,14.965,14.991,14.985,15.008
Tue Jan 30 07:56:02 2024,14.938,15.013,15.002,15.01,15.014
Tue Jan 30 07:57:27 2024,14.977,15.005,15.016,15.004,14.998
Tue Jan 30 07:57:46 2024,15.372,15.003,15.002,14.998,14.998
Tue Jan 30 07:58:05 2024,14.861,14.963,15.02,14.982,14.998
Tue Jan 30 07:58:24 2024,15.012,14.984,14.993,14.982,14.995
Tue Jan 30 07:58:43 2024,14.93,15.003,15.024,15.001,14.992
Tue Jan 30 07:59:02 2024,15.366,15.021,14.964,14.985,14.997
Tue Jan 30 07:59:21 2024,14.955,14.988,14.966,14.991,15.006
Tue Jan 30 07:59:40 2024,14.952,14.996,15.013,15.022,15.032
Tue Jan 30 07:59:59 2024,14.951,14.99,15.008,14.993,15.034
Tue Jan 30 08:00:19 2024,14.713,14.978,14.984,14.995,15.005
Tue Jan 30 08:00:38 2024,15.053,15.145,14.967,14.971,14.987
Tue Jan 30 08:00:57 2024,14.954,14.977,15.029,14.977,14.984
