,Unnamed: 0,Catalyst,Reaction,Tube,Date,Mass Catalyst,Mass Diluent,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn
23,32,Pt1Fe4Ca4/Al2O3,24-010,3,2024-02-19,20.0,120.0,0.0030002179758588,0.2068985966136595,68.96118824647552,35.39593027957799,2.706172259978959,1,0.0,0.0,4.0,0.0,4.0,0,0
24,33,Pt1Ca1/Al2O3,24-010,4,2024-02-19,20.1,120.1,0.0066394874444986,0.0527474530705072,7.944506787826316,6.3300416253643,0.5778352477724606,1,0.0,0.0,0.0,0.0,1.0,0,0
25,34,Pt1Ca4/Al2O3,24-010,5,2024-02-19,20.0,120.1,0.005610320959041,0.2119103459295049,37.77151921905841,27.945063332171504,2.433484751902585,1,0.0,0.0,0.0,0.0,4.0,0,0
26,35,Pt1Ca8/Al2O3,24-010,6,2024-02-19,20.1,120.0,0.0065548661940444,0.1620405706661287,24.72065269819754,19.59390670134039,1.7818551634361537,1,0.0,0.0,0.0,0.0,8.0,0,0
27,40,Pt1Cu4/Al2O3,24-011,5,2024-02-20,19.9,120.0,0.0040466168873595,0.2487892596273455,61.48080397837751,38.20214673407447,3.0829018476340764,1,0.0,0.0,0.0,4.0,0.0,0,0
28,41,Pt1/γ-Al2O3,24-011,6,2024-02-20,20.0,119.9,0.0066543764893232,0.0534350168560079,8.030056150526343,6.4040266351640325,0.584978009156168,1,0.0,0.0,0.0,0.0,0.0,0,0
29,42,Pt1Sn4,24-015,1,2024-03-14,20.0,120.0,0.0014813097558588,0.3312599692836507,223.6264008749413,66.90613583610504,4.707794016517282,1,4.0,0.0,0.0,0.0,0.0,0,0
30,43,Pt1Sn1,24-015,2,2024-03-14,19.9,120.0,0.0020272727833196,0.2914202530431443,143.74989663006366,55.38016641836989,4.017325243394266,1,1.0,0.0,0.0,0.0,0.0,0,0
31,44,Pt1Sn8,24-015,3,2024-03-14,20.1,119.9,0.0008331246725467,0.2883691261111327,346.1296197478081,62.72846353448965,4.253110886367159,1,8.0,0.0,0.0,0.0,0.0,0,0
32,45,Pt1Fe1,24-015,4,2024-03-14,19.9,120.2,0.0045084269563877,0.1552964633884175,34.44581999235629,22.771807871318792,1.880526848352965,1,0.0,0.0,1.0,0.0,0.0,0,0
33,46,Pt1Fe4,24-015,5,2024-03-14,20.1,120.0,0.0048449451671549,0.2099160983677914,43.32682643982517,29.78226426434584,2.500355317735857,1,0.0,0.0,4.0,0.0,0.0,0,0
34,47,Pt1Fe8,24-015,6,2024-03-14,20.0,120.0,0.0032464572887754,0.0455272041346614,14.02365720074931,7.589660254067314,0.587823112593958,1,0.0,0.0,8.0,0.0,0.0,0,0
35,48,Pt1Cu8,24-016,1,2024-03-15,20.0,120.0,0.0046450283709326,0.3259595144167236,70.17384790510415,47.15832503598846,3.92067656526738,1,0.0,0.0,0.0,8.0,0.0,0,0
36,49,Pt1Ga1,24-016,2,2024-03-15,20.0,120.0,0.0026394490201994,0.2385829012852574,90.39117613539992,42.41623146154196,3.1811613545498902,1,0.0,1.0,0.0,0.0,0.0,0,0
37,50,Pt1Ga4,24-016,3,2024-03-15,20.1,119.9,0.0036896793422715,0.1342580343682345,36.38745319412506,21.37768832448925,1.6941447440471793,1,0.0,4.0,0.0,0.0,0.0,0,0
38,51,Pt1Ga8,24-016,4,2024-03-15,20.1,120.0,0.0034911111333737,0.0754272259394872,21.605506974106166,12.25826276661391,0.9615647431780092,1,0.0,8.0,0.0,0.0,0.0,0,0
39,52,Pt1Cu1,24-016,5,2024-03-15,20.0,120.0,0.0063048359455873,0.2114540895298734,33.538396772697524,26.152810292736103,2.351620438994783,1,0.0,0.0,0.0,1.0,0.0,0,0
40,54,Pt1Sn4Cu1Ca1,24-023,1,2024-04-03,20.1,120.2,0.0012899202571286,0.2619372748219735,203.06470370893493,54.06507649426536,3.76319794854714,1,4.0,0.0,0.0,1.0,1.0,0,0
41,55,Pt1Sn1Ga1,24-023,2,2024-04-03,20.0,120.0,0.0017249220522856,0.2979019363138279,172.70457869042698,58.544552264902286,4.176186715215268,1,1.0,1.0,0.0,0.0,0.0,0,0
42,56,Pt1Sn4Fe1Ca1,24-023,3,2024-04-03,20.2,120.2,0.0007691799241214,0.2978958515403481,387.29020635918494,65.28390414432509,4.40996646437954,1,4.0,0.0,1.0,0.0,1.0,0,0
43,57,Pt1Sn1Ga1Cu1,24-023,4,2024-04-03,20.0,120.1,0.0038468700484076,0.2533504007982487,65.85884046255154,39.69796847005664,3.171355581256237,1,1.0,1.0,0.0,1.0,0.0,0,0
44,58,Pt1Sn4Fe1Cu1Ca1,24-023,5,2024-04-03,20.1,120.2,0.0010124754909963,0.2647797375203708,261.5171822676093,56.4154994157714,3.864929640677639,1,4.0,0.0,1.0,1.0,1.0,0,0
45,59,Pt1Sn4Fe1Cu1,24-023,6,2024-04-03,2.0,119.9,0.0011747725750064,0.2402640311284335,204.51961191476204,50.24743042236648,3.474571943005823,1,4.0,0.0,1.0,1.0,0.0,0,0
46,60,Pt1Sn1Fe1Ca4,24-025,1,2024-04-08,20.1,119.9,0.002211173149206,0.2956104466203735,133.68941583182576,55.05277480757284,4.034126342661748,1,1.0,0.0,1.0,0.0,4.0,0,0
47,61,Pt1Sn4Cu4Ca1,24-025,2,2024-04-08,20.1,120.1,0.0010433054953175,0.278441484186865,266.88394284946884,59.11625419584343,4.05714401492708,1,4.0,0.0,0.0,4.0,1.0,0,0
48,62,Pt1Sn1Fe1Cu1Ca4,24-025,3,2024-04-08,19.9,120.0,0.0020048112769345,0.3152269220966334,157.23520997878407,60.052955228314815,4.350897406217321,1,1.0,0.0,1.0,1.0,4.0,0,0
49,63,Pt1Sn1Cu1Ca4,24-025,4,2024-04-08,19.9,119.9,0.0018314580541931,0.3185959204526039,173.95753057143028,61.87211056405741,4.439842566522055,1,1.0,0.0,0.0,1.0,4.0,0,0
50,64,Pt1Sn4Fe1Ca4,24-025,5,2024-04-08,20.2,120.0,0.000612798123262,0.3150262495629302,514.0783524041835,70.30935947582188,4.706303626503504,1,4.0,0.0,1.0,0.0,4.0,0,0
51,65,Pt1Sn8Fe1Ca1,24-025,6,2024-04-08,19.9,120.1,0.0007485682840383,0.1901377559539142,254.0018860112012,41.76876369970222,2.818123311501946,1,8.0,0.0,1.0,0.0,1.0,0,0
