,Date,Reaction,Tube,Catalyst,Mass Catalyst,Mass Diluent,Time,Time Since Start,Conversion,Selectivity,Carbon Balance,Yield
79,2024-05-20,24-034,2,Pt1Sn4Fe1.5Ca2.5,20.2,120.1,2024-05-21 01:11:46,266.4666666495614,0.23213079076070764,0.9988846787404266,1.001535193977532,0.23187189035477065
79,2024-05-20,24-034,2,Pt1Sn4Fe1.5Ca2.5,20.2,120.1,2024-05-21 01:45:37,300.3166666624602,0.22572193102326218,0.9988887125183608,0.9988288850342025,0.2254710890669846
79,2024-05-20,24-034,2,Pt1Sn4Fe1.5Ca2.5,20.2,120.1,2024-05-21 02:19:28,334.16666665440425,0.2209858390924775,0.9988924612471145,1.000813352436407,0.22074108871184364
79,2024-05-20,24-034,2,Pt1Sn4Fe1.5Ca2.5,20.2,120.1,2024-05-21 02:53:20,368.0333333273884,0.21646268006504557,0.9988783565413515,1.0018345440190122,0.2162198861159091
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 21:11:17,25.9833333324641,0.2928240978359439,0.9988016790304168,1.000155046251334,0.2924732005791078
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 21:44:43,59.41666665463708,0.27574746346325263,0.9992137277558587,1.0030829248840754,0.2755306508863391
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 22:18:09,92.84999998728745,0.2640089993561095,0.9992874869008983,1.0053050915640618,0.2638208894857875
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 22:51:36,126.29999999050051,0.2534961231889754,0.9989791059514977,1.0038993203153679,0.2532373305054934
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 23:25:03,159.74999999371357,0.24351440580633002,0.9993590543272208,1.0016261390731938,0.24335832630166906
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 23:30:44,165.43333333544433,0.2428121170260903,0.9993591545469592,1.0038735600962765,0.24265651198495092
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-20 23:36:24,171.09999998565763,0.24163462055371243,0.9990042742596813,1.0049937293235707,0.24139401874227495
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 00:10:05,204.7833333138842,0.23344573684123113,0.9990105059551166,1.0039175931172215,0.2332147436748233
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 00:43:33,238.24999998765998,0.2262662265091492,0.9990078948916257,1.0015714898735653,0.2260417466299769
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 01:17:24,272.0999999900814,0.21974962312371263,0.9990120990105174,1.0015526892804527,0.21953253225359026
