,index,pred,expt,idxs,Round
0,0,1.1353921632110016,0.7494297670801456,6.142857142857143,Training
1,34,3.7556812417999867,4.839589604247266,10.0,Training
2,37,2.652587161845978,4.709697987118238,15.0,Training
3,46,2.219963011007879,3.669342116533025,16.0,Training
4,43,1.140116373897831,4.016279311158366,17.0,Training
5,18,1.149498644293733,0.8051921986463181,18.0,Training
6,19,1.1220785641536344,1.3620248396848809,19.0,Training
7,17,1.4547095506335728,2.224866200966448,20.0,Training
8,6,3.3605700077381555,3.560085915964837,21.0,Training
9,13,1.834938882399098,1.6350165485093886,22.0,Training
10,12,2.3005249634567493,2.706172259978959,23.0,Training
11,1,1.296737972593895,0.5778352477724606,24.0,Training
12,2,1.8139814868248125,2.433484751902585,25.0,Training
13,3,2.3091552028327125,1.7818551634361537,26.0,Training
14,5,4.20554237279322,3.0829018476340764,27.0,Training
15,33,3.8265228564841767,4.707794016517282,29.0,Training
16,21,2.6856874332170366,4.017325243394266,30.0,Training
17,48,2.077510527107939,4.253110886367159,31.0,Training
18,9,3.6086644913277626,1.880526848352965,32.0,Training
19,11,-0.16727854591694133,2.500355317735857,33.0,Training
20,14,2.9862587466482933,0.587823112593958,34.0,Training
21,7,2.510106813598614,3.92067656526738,35.0,Training
22,15,2.4045981381296437,3.1811613545498902,36.0,Training
23,16,2.7184479846459726,1.6941447440471793,37.0,Training
24,20,-0.27709203851511083,0.9615647431780092,38.0,Training
25,4,1.3090759445615985,2.351620438994783,39.0,Training
26,35,4.732886706342036,3.76319794854714,40.0,Round 1
27,30,2.109282156993556,4.176186715215268,41.0,Round 1
28,39,2.5693862133897096,4.40996646437954,42.0,Round 1
29,31,3.8861750126370938,3.171355581256237,43.0,Round 1
30,42,4.4715835433448134,3.864929640677639,44.0,Round 1
31,41,5.567642585999074,3.474571943005823,45.0,Round 1
32,27,4.858450129794512,4.034126342661748,46.0,Round 2
33,38,3.158576108425405,4.05714401492708,47.0,Round 2
34,28,3.3068663189196728,4.350897406217321,48.0,Round 2
35,22,4.256814652318165,4.439842566522055,49.0,Round 2
36,40,3.385211384753319,4.706303626503504,50.0,Round 2
37,49,3.706018987551436,2.818123311501946,51.0,Round 2
38,44,4.824965897522682,3.4364782780763887,52.0,Round 3
39,47,1.8469860239110467,2.007535655428523,53.0,Round 3
40,36,4.6619399790472436,2.715370684106582,54.0,Round 3
41,24,1.1381351171223362,2.673845787443786,55.0,Round 3
42,45,3.885993559746936,2.4295941651713124,56.0,Round 3
43,25,4.08240113661843,3.579674833252274,57.0,Round 3
44,29,4.311275495024935,4.479072703995157,58.0,Round 4
45,23,3.868907172596452,3.883892953275546,59.0,Round 4
46,8,4.109490909872067,3.884189823575288,60.0,Round 4
47,32,4.3054144475645915,4.286318750015257,61.0,Round 4
48,26,3.7805963046452313,4.217498503655141,62.0,Round 4
49,10,3.6846623894254025,4.0365087127281445,63.0,Round 4
