Time,Current SP,R1,R2,R3,R4,R5,R6
Fri May  3 12:44:40 2024,48.767678658167526,26.3150634765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:46 2024,50.71331262588501,27.616241455078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:52 2024,52.6290644009908,29.134124755859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:44:57 2024,54.55804785092671,30.802764892578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:03 2024,56.39367469151814,32.59771728515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:11 2024,58.94569802284241,35.208770751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:16 2024,60.871338526407875,37.539459228515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:22 2024,62.76998233795166,40.019317626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:30 2024,65.34090868631998,43.55230712890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:36 2024,67.25988109906515,46.396484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:41 2024,69.14568519592285,49.365936279296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:49 2024,71.69772299130759,53.244537353515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:45:55 2024,73.62384549776712,56.285614013671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:00 2024,75.50617225964865,59.402191162109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:08 2024,78.061474164327,63.5953369140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:14 2024,79.9970314502716,66.83840942382812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:19 2024,81.86278541882834,69.804931640625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:27 2024,84.41475439071655,74.10012817382812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:33 2024,86.35177699724832,77.55950927734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:38 2024,88.2274418671926,80.73110961914062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:46 2024,90.77607933680217,85.24765014648438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:52 2024,92.70838022232056,88.72732543945312,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:46:57 2024,94.56748127937317,92.13571166992188,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:05 2024,97.109467903773,96.88543701171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:11 2024,99.03508949279785,100.56680297851562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:16 2024,100.89753707249959,104.1142578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:24 2024,103.45619169871013,108.97854614257812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:30 2024,105.38189212481181,112.5611572265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:35 2024,107.23425459861755,116.16793823242188,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:43 2024,109.79288840293884,120.92816162109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:49 2024,111.59535257021587,124.18743896484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:47:54 2024,113.46426916122437,127.72427368164062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:00 2024,115.38991928100586,131.22274780273438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:06 2024,117.32562406857808,134.74746704101562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:12 2024,119.48441354433696,138.67703247070312,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
