Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-031,inficon_gc,71b19506-7df6-4202-af6f-29c7ba80acaa,1714758293.9590254,0.0,0,75.075,0,74.0925,53.12879943847656,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,a46ec8e8-7bfd-4cf9-838e-3659a999fdc6,1714758777.4469647,0.0,0,75.075,0,74.0925,214.298095703125,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,f2e49003-79c1-40be-bd89-f60db9b00369,1714759261.4204118,0.0,0,75.075,0,74.0925,375.62255859375,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,fd7b5805-e174-456b-a870-47159bdeceb3,1714759745.501419,0.0,0,75.075,0,74.0925,536.9629516601562,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,3aa1a936-3013-4dbe-b39f-6d1987c53add,1714760229.9617596,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,e38cb34b-aef1-4176-a373-f559ce0b27d0,1714760713.351119,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,2ceabfa7-a004-4f6b-9f25-48e7dac7b813,1714761196.8835828,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-031,inficon_gc,6e8d9ea8-096d-4a59-9ccd-4aec93ad0bb3,1714763478.4147313,0.0,0,119.119,0,0.0,550.0,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,8f7a5c2b-a506-46a2-8bbb-bd5d2bd099c6,1714763810.8170443,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,cc4f5288-5df8-49e0-b7c3-91313db0a30c,1714764143.4664621,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,814126a1-e850-4712-8357-2076fd711788,1714764476.1184216,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,d6f7d69d-7ff1-4dae-bb38-66061bbdeee5,1714764808.5982385,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,c7d9038f-6f3b-44c3-9e43-1ab0774ed210,1714765141.169011,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,eccfaa94-a238-48a7-ad35-f83c9fe1fd09,1714765473.8990176,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,a2fa6f22-f3ed-44f2-b5f5-de6233de2d74,1714765815.6772969,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,b7fdc763-de7e-4c7b-823b-07fcef8d0322,1714766151.8807843,0.0,0,119.119,0,0.0,553.41650390625,1.0,0.0,9,0,0,1,15
24-031,inficon_gc,068ae24c-7f2b-4869-ac36-c1e6810d3644,1714766721.9843073,57.2025,0,75.075,0,0.0,553.41650390625,-1.0,0.0,2,0,3,1,15
24-031,inficon_gc,29582fde-bff1-43ac-ae74-9b87e4f9ac90,1714767056.6935236,57.2025,0,75.075,0,0.0,553.41650390625,-1.0,0.0,2,0,3,1,15
