Time,Current SP,R1,R2,R3,R4,R5,R6
Fri Mar 15 11:11:45 2024,25.0,22.97998046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:11:52 2024,25.0,22.94049072265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:00 2024,25.0,22.9337158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:07 2024,25.0,23.099334716796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:15 2024,25.0,22.96484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:22 2024,25.0,23.0390625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:30 2024,25.0,22.995574951171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:37 2024,25.0,22.94287109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:45 2024,25.0,22.97998046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:12:52 2024,25.0,22.875030517578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:00 2024,25.0,22.92132568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:07 2024,25.0,22.926116943359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:14 2024,25.0,22.92852783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:22 2024,25.0,23.037078857421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:29 2024,25.0,22.96484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:36 2024,25.0,22.9189453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:44 2024,25.0,22.864654541015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:51 2024,25.0,22.98638916015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:13:59 2024,25.0,22.842315673828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:06 2024,25.0,22.892608642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:14 2024,25.0,22.869049072265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:21 2024,25.0,22.97802734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:28 2024,25.0,22.816375732421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:36 2024,25.0,22.8363037109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:43 2024,25.0,22.93011474609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:50 2024,25.0,22.958465576171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:14:58 2024,25.0,22.965240478515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:05 2024,25.0,23.056610107421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:13 2024,25.0,22.9783935546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:20 2024,25.0,22.987213134765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:28 2024,25.0,22.90655517578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:35 2024,25.0,22.967254638671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:43 2024,25.0,22.921722412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:50 2024,25.0,22.9764404296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:15:57 2024,25.0,22.960845947265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:16:05 2024,25.0,22.9783935546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri Mar 15 11:16:12 2024,25.0,23.037078857421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
