Time,1,2,3,4,5,6
Tue Jul 16 17:49:02 2024,14.934,14.952,14.965,14.982,14.973,14.97
Tue Jul 16 17:49:17 2024,14.994,14.998,14.999,14.998,14.983,14.957
Tue Jul 16 17:49:32 2024,14.995,15.001,14.998,14.992,15.0,14.997
Tue Jul 16 17:49:46 2024,14.998,15.0,14.998,15.0,15.001,14.998
Tue Jul 16 17:50:01 2024,14.995,15.005,15.002,14.996,14.997,14.998
Tue Jul 16 17:50:16 2024,14.995,14.997,14.998,15.002,14.998,14.998
Tue Jul 16 17:50:31 2024,15.0,15.0,14.999,15.0,15.003,15.0
Tue Jul 16 17:50:46 2024,14.997,14.999,15.0,14.998,15.004,14.999
Tue Jul 16 17:51:01 2024,14.998,15.019,14.999,14.995,14.996,14.998
Tue Jul 16 17:51:15 2024,14.998,15.001,15.001,14.998,15.001,15.0
Tue Jul 16 17:51:30 2024,15.0,14.993,15.0,14.999,15.0,15.0
Tue Jul 16 17:51:45 2024,14.997,14.999,15.0,15.003,15.0,15.0
Tue Jul 16 17:52:00 2024,14.998,15.0,14.997,15.0,15.0,14.998
Tue Jul 16 17:52:15 2024,14.997,14.998,15.0,14.999,14.998,14.998
Tue Jul 16 17:52:29 2024,15.003,15.006,14.999,15.0,15.002,14.998
Tue Jul 16 17:52:44 2024,14.997,14.998,15.001,14.99,14.998,15.002
Tue Jul 16 17:52:59 2024,15.0,15.001,14.999,14.998,15.002,15.0
Tue Jul 16 17:53:14 2024,15.002,15.0,15.001,15.0,14.999,14.997
Tue Jul 16 17:53:29 2024,15.0,15.001,15.002,15.001,15.001,14.996
Tue Jul 16 17:53:44 2024,14.995,14.999,14.999,15.001,15.0,14.998
Tue Jul 16 17:53:58 2024,15.0,15.0,15.002,15.0,15.0,15.0
Tue Jul 16 17:54:14 2024,14.998,14.999,15.001,15.0,14.998,14.999
Tue Jul 16 17:55:39 2024,15.0,15.001,14.999,14.999,15.0,14.998
Tue Jul 16 17:55:58 2024,15.002,14.999,15.001,15.0,15.0,14.999
Tue Jul 16 17:56:17 2024,14.998,15.0,15.0,14.999,15.0,15.0
Tue Jul 16 17:56:36 2024,15.0,14.999,15.001,14.998,15.0,15.002
Tue Jul 16 17:56:55 2024,14.998,15.0,15.0,15.002,15.0,15.0
Tue Jul 16 17:57:14 2024,14.998,15.0,14.998,15.002,15.002,15.002
Tue Jul 16 17:57:33 2024,15.0,15.002,15.0,15.001,15.0,15.0
Tue Jul 16 17:57:52 2024,15.002,15.0,14.998,15.001,14.999,14.999
Tue Jul 16 17:58:11 2024,14.998,15.0,15.0,15.0,14.998,15.0
Tue Jul 16 17:58:30 2024,15.002,14.999,15.0,15.0,14.997,15.0
Tue Jul 16 17:58:49 2024,15.0,14.999,15.0,15.0,14.998,14.999
Tue Jul 16 17:59:08 2024,15.003,14.998,15.0,15.002,14.998,15.001
Tue Jul 16 17:59:27 2024,15.002,15.0,15.001,14.999,15.002,15.0
Tue Jul 16 17:59:45 2024,15.0,15.001,15.0,15.001,15.0,15.002
Tue Jul 16 18:00:04 2024,15.002,15.001,15.0,15.001,14.999,15.0
Tue Jul 16 18:00:23 2024,15.0,15.002,15.002,14.999,14.998,15.0
Tue Jul 16 18:00:42 2024,15.002,15.0,15.002,14.999,14.998,14.998
Tue Jul 16 18:01:01 2024,14.998,15.0,15.001,15.003,15.0,15.0
Tue Jul 16 18:01:20 2024,14.998,15.0,15.001,15.0,15.001,15.0
Tue Jul 16 18:01:39 2024,15.0,15.001,14.999,15.0,15.0,14.997
Tue Jul 16 18:01:58 2024,14.998,15.0,14.998,15.001,15.0,14.999
Tue Jul 16 18:02:17 2024,15.0,15.001,15.0,14.999,15.0,14.999
Tue Jul 16 18:03:42 2024,15.002,15.0,14.999,15.001,15.0,14.997
Tue Jul 16 18:04:01 2024,15.0,15.001,15.001,14.998,14.999,14.999
Tue Jul 16 18:04:20 2024,14.998,15.0,14.999,15.0,14.998,15.0
Tue Jul 16 18:04:39 2024,15.0,14.998,15.0,15.0,15.0,14.998
Tue Jul 16 18:04:58 2024,15.003,15.002,15.0,14.999,15.002,14.998
Tue Jul 16 18:05:17 2024,15.003,15.0,14.998,15.002,15.0,15.0
Tue Jul 16 18:05:36 2024,15.002,15.001,15.001,15.0,15.002,15.0
Tue Jul 16 18:05:55 2024,15.0,15.0,15.0,15.002,15.0,14.997
Tue Jul 16 18:06:14 2024,15.002,14.999,15.001,15.0,15.0,15.0
Tue Jul 16 18:06:33 2024,15.002,14.996,14.998,15.002,14.999,15.0
Tue Jul 16 18:06:52 2024,15.0,15.0,15.0,15.0,14.999,14.999
Tue Jul 16 18:07:11 2024,14.997,15.0,15.0,14.999,15.0,15.002
Tue Jul 16 18:07:29 2024,15.002,14.996,14.999,15.001,15.001,15.002
Tue Jul 16 18:07:48 2024,15.0,15.0,14.998,15.0,14.998,14.998
Tue Jul 16 18:08:07 2024,15.0,14.998,15.001,14.997,15.0,14.999
Tue Jul 16 18:08:26 2024,15.002,15.0,14.999,15.001,15.0,15.002
Tue Jul 16 18:08:45 2024,15.002,15.003,15.0,15.001,15.002,15.002
Tue Jul 16 18:09:03 2024,15.0,15.0,15.0,15.0,14.997,15.001
Tue Jul 16 18:09:22 2024,15.002,15.0,15.0,15.003,15.001,15.0
Tue Jul 16 18:09:41 2024,14.998,15.001,15.0,15.001,15.0,15.0
Tue Jul 16 18:10:00 2024,14.998,15.0,15.001,15.0,14.999,14.999
Tue Jul 16 18:10:19 2024,15.002,15.0,15.001,15.003,15.0,15.001
Tue Jul 16 18:11:43 2024,15.0,14.998,15.0,15.001,15.0,14.998
Tue Jul 16 18:12:02 2024,14.997,15.0,15.001,15.0,15.002,14.997
Tue Jul 16 18:12:21 2024,15.002,14.999,15.0,15.002,15.002,14.998
Tue Jul 16 18:12:40 2024,14.998,14.999,15.002,15.0,14.998,15.0
Tue Jul 16 18:12:59 2024,14.998,15.002,15.002,15.0,15.0,15.0
Tue Jul 16 18:13:18 2024,15.003,15.0,14.999,15.002,15.0,14.999
Tue Jul 16 18:13:37 2024,15.0,15.001,15.0,14.998,14.998,14.998
Tue Jul 16 18:13:56 2024,15.002,14.999,15.0,14.999,15.001,15.002
Tue Jul 16 18:14:15 2024,14.997,15.002,14.999,15.0,15.0,15.0
Tue Jul 16 18:14:34 2024,15.0,14.999,15.003,15.001,15.0,15.0
Tue Jul 16 18:14:53 2024,14.998,15.0,15.002,15.0,15.0,15.0
Tue Jul 16 18:15:12 2024,15.002,14.999,15.001,15.0,15.003,15.001
Tue Jul 16 18:15:31 2024,15.0,14.999,15.0,14.998,15.001,14.999
Tue Jul 16 18:15:50 2024,15.003,15.001,14.999,14.999,15.0,14.998
Tue Jul 16 18:16:09 2024,15.0,15.001,14.998,15.0,15.0,15.001
Tue Jul 16 18:16:28 2024,14.997,15.0,14.998,15.0,14.999,15.0
Tue Jul 16 18:16:47 2024,14.998,15.0,14.998,15.002,14.999,15.0
Tue Jul 16 18:17:05 2024,15.0,14.999,15.0,15.001,15.001,15.001
Tue Jul 16 18:17:24 2024,15.0,15.002,14.999,15.0,15.0,15.0
Tue Jul 16 18:17:43 2024,14.998,15.0,14.999,15.0,15.0,15.0
Tue Jul 16 18:18:02 2024,15.0,15.001,14.999,15.002,15.0,15.002
Tue Jul 16 18:18:21 2024,15.0,15.0,14.999,14.999,15.001,15.001
Tue Jul 16 18:19:46 2024,15.002,15.0,15.0,15.002,15.0,15.0
Tue Jul 16 18:20:05 2024,15.002,15.0,15.0,14.998,14.999,15.0
Tue Jul 16 18:20:24 2024,14.998,14.998,14.999,14.999,15.001,14.999
Tue Jul 16 18:20:43 2024,15.002,14.998,15.0,15.001,15.001,14.997
Tue Jul 16 18:21:01 2024,15.0,15.0,15.001,15.0,15.001,15.001
Tue Jul 16 18:21:21 2024,14.997,15.0,15.001,14.999,15.0,14.999
Tue Jul 16 18:21:39 2024,15.002,14.999,15.0,14.997,15.003,15.0
Tue Jul 16 18:21:58 2024,15.002,14.999,15.0,14.997,14.999,15.0
Tue Jul 16 18:22:17 2024,14.998,15.0,15.001,15.0,14.998,14.999
Tue Jul 16 18:22:36 2024,15.0,15.001,15.001,15.0,15.001,15.0
Tue Jul 16 18:22:55 2024,14.998,15.0,15.001,14.997,15.0,14.999
Tue Jul 16 18:23:14 2024,15.002,15.0,15.0,14.999,15.0,14.999
Tue Jul 16 18:23:33 2024,15.002,15.0,15.0,15.0,14.999,14.998
Tue Jul 16 18:23:52 2024,15.0,15.0,14.999,15.0,14.999,15.002
Tue Jul 16 18:24:11 2024,14.998,15.0,14.997,14.999,14.998,15.001
Tue Jul 16 18:24:29 2024,15.0,14.999,15.002,15.002,15.002,15.0
Tue Jul 16 18:24:48 2024,15.002,15.0,15.001,15.0,15.001,15.0
Tue Jul 16 18:25:07 2024,15.002,15.001,15.0,15.0,15.0,14.999
Tue Jul 16 18:25:26 2024,15.0,15.0,15.0,14.999,15.0,14.999
Tue Jul 16 18:25:45 2024,14.998,15.0,15.0,15.0,15.0,14.999
Tue Jul 16 18:26:04 2024,15.002,15.0,15.0,15.002,14.998,15.002
Tue Jul 16 18:26:22 2024,14.998,15.002,14.998,14.998,15.001,14.998
Tue Jul 16 18:27:47 2024,14.998,15.0,14.997,15.002,15.0,15.0
Tue Jul 16 18:28:06 2024,15.002,15.0,15.0,14.997,15.002,14.999
Tue Jul 16 18:28:25 2024,15.003,14.999,15.0,15.0,14.998,15.0
Tue Jul 16 18:28:44 2024,15.0,14.998,15.0,15.0,15.001,14.999
Tue Jul 16 18:29:03 2024,15.0,14.998,14.999,15.001,15.002,14.997
Tue Jul 16 18:29:22 2024,15.002,15.0,15.001,14.999,14.998,15.002
Tue Jul 16 18:29:41 2024,15.002,15.0,15.002,15.001,15.001,15.001
Tue Jul 16 18:30:00 2024,15.0,15.0,15.0,14.998,15.0,15.001
Tue Jul 16 18:30:19 2024,15.0,15.0,15.0,14.998,15.0,15.0
Tue Jul 16 18:30:38 2024,15.0,14.998,15.0,14.997,14.999,15.0
Tue Jul 16 18:30:57 2024,15.0,14.998,15.0,15.0,15.003,15.0
Tue Jul 16 18:31:16 2024,14.997,14.999,14.999,14.999,14.998,14.999
Tue Jul 16 18:31:35 2024,14.998,14.998,15.0,15.002,15.001,15.0
Tue Jul 16 18:31:54 2024,14.998,15.0,15.002,15.002,15.0,14.999
Tue Jul 16 18:32:13 2024,15.0,15.0,15.001,15.001,15.0,14.999
Tue Jul 16 18:32:31 2024,15.0,14.999,15.0,15.0,15.0,15.001
Tue Jul 16 18:32:50 2024,14.998,14.999,15.0,15.0,15.0,15.001
Tue Jul 16 18:33:09 2024,14.998,14.999,14.999,15.0,15.002,14.998
Tue Jul 16 18:33:28 2024,15.0,14.998,15.0,14.999,14.999,15.001
Tue Jul 16 18:33:47 2024,14.998,15.0,15.0,15.002,15.001,15.0
Tue Jul 16 18:34:06 2024,15.002,15.0,14.999,15.001,15.0,15.0
Tue Jul 16 18:34:25 2024,15.0,15.0,14.999,14.998,15.0,15.0
Tue Jul 16 18:35:50 2024,15.002,15.0,15.0,15.001,15.0,15.0
Tue Jul 16 18:36:09 2024,15.0,15.0,14.999,14.998,15.0,15.0
