Reaction Name,inficon_gc,GC Run ID,GC Time Stamp,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
24-010,inficon_gc,fc10534b-41bf-4b76-af7e-8e1623cbd20e,1708384871.7302144,0.0,0,75.075,0,74.0925,53.0618896484375,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,0396bdd7-d783-4157-a96a-6258e950c4ad,1708385355.5793447,0.0,0,75.075,0,74.0925,214.20703125,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,35b2a829-1d05-445a-b7dd-1ddba23205f9,1708385842.6497386,0.0,0,75.075,0,74.0925,376.83819580078125,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,1fd812fd-aaad-4cce-9244-9118b4a1d594,1708386324.6275272,0.0,0,75.075,0,74.0925,537.42431640625,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,5afef20f-4c6b-440d-917d-d01409d50e01,1708386808.1659465,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,d2710059-db46-4b24-b150-a96caaba6547,1708387291.6964223,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,0668cbda-98af-4345-9548-c8c0dea7802b,1708387775.7813683,0.0,0,75.075,0,74.0925,550.0,-1.0,20.0,7,8,0,1,15
24-010,inficon_gc,cb2aaaac-a7f3-482d-8813-c416c01465fa,1708390059.4071631,0.0,0,119.119,0,0.0,550.0,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,2daa98ce-d368-4c15-a549-18ca13683acc,1708390392.0034888,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,d002e166-a568-4c2c-89e3-85d375ff791c,1708390723.6618104,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,30748dd2-c319-446f-b986-9547436f7e30,1708391056.549415,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,38ffdee2-66f9-43e8-a7b3-bc231ca829c6,1708391389.2755356,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,058b7993-72ac-4790-97ec-c476f89c49cc,1708391721.9924064,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,874a4830-68c5-4eb1-8ec8-704db1cb3419,1708392054.6798964,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,e9547d54-ca55-4bce-9a39-8bafd76d3db9,1708392387.235366,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,461e0e94-24cd-4cf1-99c9-a73499b6fabd,1708392719.9710221,0.0,0,119.119,0,0.0,551.205322265625,1.0,0.0,9,0,0,1,15
24-010,inficon_gc,7610e53f-8821-46df-9d21-f304241e97bd,1708393291.0118349,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,2,0,3,1,15
24-010,inficon_gc,fa8f01ca-c45e-485c-9fe7-d77048d3b26d,1708393624.589015,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,2,0,3,1,15
24-010,inficon_gc,be52bbbf-538d-4f24-8cbc-e91263037b20,1708393956.3558505,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,2,15
24-010,inficon_gc,178c8099-09b9-46e4-ab38-9824fbf5fd33,1708394295.4884515,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,3,15
24-010,inficon_gc,9c1fa2fb-fd7a-454e-84a3-84409084217c,1708394635.1217551,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,4,15
24-010,inficon_gc,2275ce38-b4c9-4442-80e5-41c9c7e23832,1708394974.3447573,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,5,15
24-010,inficon_gc,c5c4cf7b-7655-45c7-9a96-da590fda1328,1708395313.938635,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,6,15
24-010,inficon_gc,247a346a-6b9f-4619-a856-5b16e20ebf3a,1708395653.3209488,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,1,15
24-010,inficon_gc,7f29b145-369f-486d-b7f2-be64c0350464,1708395990.8747323,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,2,15
24-010,inficon_gc,e0813a95-ec3c-4335-aa79-f0d99a2b3aa9,1708396328.529017,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,3,15
24-010,inficon_gc,efc7246c-9e4a-45e7-a6fa-acd898af3ea6,1708396666.3814635,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,4,15
24-010,inficon_gc,bb385ee6-1dea-4600-9823-3619a691e602,1708397003.8747594,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,5,15
24-010,inficon_gc,d47c28d0-b058-4c7e-a111-3d5c7c621f7f,1708397341.6785026,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,6,15
24-010,inficon_gc,ec20fde0-1851-47ae-b68b-67e74b92fca5,1708397679.5912297,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,1,15
24-010,inficon_gc,18e7e5e2-5cba-4fad-a1af-360eaccf61af,1708398017.245649,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,2,15
24-010,inficon_gc,25f1f2ee-aa8c-4da0-a757-8c70218cdeea,1708398354.9890692,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,3,15
24-010,inficon_gc,7799a660-02e2-49a8-bfb0-92b6767ac63e,1708398692.6619759,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,4,15
24-010,inficon_gc,a7c59e80-c712-4301-aab2-e432439e26fa,1708399030.3445547,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,5,15
24-010,inficon_gc,366c0d55-c50c-4fbb-a760-6e7b241e6f61,1708399367.929945,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,6,15
24-010,inficon_gc,dc1e62aa-d9ba-402c-8f4e-0aafe5ee5256,1708399705.5731847,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,1,15
24-010,inficon_gc,a2a14ce0-9b90-4efc-9053-43a7d072ebe8,1708400042.967374,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,2,15
24-010,inficon_gc,54904bac-e600-4e78-9bd1-85630afa1ff2,1708400382.2452035,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,3,15
24-010,inficon_gc,982a7eab-45a8-40ee-b299-9065b4d02abc,1708400719.7380059,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,4,15
24-010,inficon_gc,8f8ea26f-c882-4833-a65b-02cb7ddc255a,1708401057.1414096,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,5,15
24-010,inficon_gc,2040c504-555f-423f-a242-8bacef96e077,1708401394.7064166,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,6,15
24-010,inficon_gc,3cc15bb3-d71f-4494-a743-9b0b3081d747,1708401732.209271,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,1,15
24-010,inficon_gc,91cda6bf-84bb-486d-9f08-4ffaedb8d09a,1708402069.9716609,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,1,0,3,2,15
24-010,inficon_gc,12130ba4-7f48-41d0-bad3-a374545cee60,1708402407.6558518,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,3,0,3,3,15
24-010,inficon_gc,92a7ab89-ee45-4b95-83d0-ca2264cf9498,1708402739.4123492,57.2025,0,75.075,0,0.0,551.205322265625,-1.0,0.0,3,0,3,3,15
