Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Mon Feb 19 17:14:39 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,73.7175,50.088600158691406,21.9893798828125,0.0,0,0,0,1,14.960333333333333
Mon Feb 19 17:14:47 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.0175,50.08091735839844,21.978179931640625,0.0,0,0,0,1,14.960333333333333
Mon Feb 19 17:14:54 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.06625000000001,50.08647155761719,22.017730712890625,0.0,0,0,0,1,14.993666666666668
Mon Feb 19 17:15:02 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.06625000000001,50.08781433105469,22.032928466796875,0.0,0,0,0,1,14.993666666666668
Mon Feb 19 17:15:09 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.06625000000001,50.087120056152344,21.91546630859375,0.0,0,0,0,1,14.993166666666665
Mon Feb 19 17:15:16 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.08125,50.08616256713867,21.986968994140625,0.0,0,0,0,1,14.993166666666665
Mon Feb 19 17:15:24 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.115,50.08561325073242,21.969390869140625,0.0,0,0,0,1,15.015166666666667
Mon Feb 19 17:15:31 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.17125,50.090824127197266,21.9893798828125,0.0,0,0,0,1,15.015166666666667
Mon Feb 19 17:15:39 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.1825,50.085906982421875,21.83477783203125,0.0,0,0,0,1,14.9985
Mon Feb 19 17:15:46 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.145,50.0845832824707,21.96063232421875,0.0,0,0,0,1,14.9985
Mon Feb 19 17:15:53 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.115,50.079994201660156,21.937042236328125,0.0,0,0,0,1,14.9955
Mon Feb 19 17:16:01 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.10000000000001,50.0866813659668,21.999786376953125,0.0,0,0,0,1,14.9955
Mon Feb 19 17:16:08 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.10374999999999,50.09120178222656,21.941436767578125,0.0,0,0,0,1,14.996666666666664
Mon Feb 19 17:16:16 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.0925,50.08536911010742,21.983001708984375,0.0,0,0,0,1,14.996666666666664
Mon Feb 19 17:16:23 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.10000000000001,50.08973693847656,21.97381591796875,0.0,0,0,0,1,15.000833333333333
Mon Feb 19 17:16:31 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.08500000000001,50.07781219482422,22.0113525390625,0.0,0,0,0,1,15.000833333333333
Mon Feb 19 17:16:38 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08125,50.076656341552734,21.9981689453125,0.0,0,0,0,1,14.998333333333333
Mon Feb 19 17:16:46 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.0775,50.081153869628906,21.92864990234375,0.0,0,0,0,1,14.998333333333333
Mon Feb 19 17:16:53 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.09625,50.084991455078125,21.976165771484375,0.0,0,0,0,1,14.997166666666667
Mon Feb 19 17:17:00 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08125,50.084861755371094,21.932647705078125,0.0,0,0,0,1,14.997166666666667
Mon Feb 19 17:17:07 2024,24-010,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,50.08201599121094,21.941436767578125,0.0,0,0,0,1,14.9985
