Time,1,2,3,4,5,6
Mon Feb 12 16:34:35 2024,13.088,14.717,14.927,14.949,14.945,14.724
Mon Feb 12 16:34:50 2024,14.948,14.931,15.0,15.012,14.991,14.985
Mon Feb 12 16:35:05 2024,15.0,14.723,14.998,14.997,15.002,14.993
Mon Feb 12 16:35:20 2024,15.056,15.237,15.005,15.011,15.022,15.007
Mon Feb 12 16:35:35 2024,15.014,15.034,15.002,15.002,14.994,15.005
Mon Feb 12 16:35:50 2024,14.989,14.996,15.002,14.997,14.997,15.006
Mon Feb 12 16:36:05 2024,14.994,15.184,14.998,14.994,14.995,14.991
Mon Feb 12 16:36:20 2024,14.997,15.091,14.997,15.0,14.994,14.998
Mon Feb 12 16:36:35 2024,15.177,14.975,15.002,15.002,14.998,15.002
Mon Feb 12 16:36:50 2024,14.892,15.09,14.998,14.992,14.991,15.0
Mon Feb 12 16:37:05 2024,15.186,15.143,15.002,14.998,14.994,14.995
Mon Feb 12 16:37:20 2024,14.891,14.971,14.998,15.0,14.984,15.002
Mon Feb 12 16:37:34 2024,14.97,14.974,14.998,15.0,14.995,15.0
Mon Feb 12 16:37:49 2024,14.936,14.967,15.036,14.992,14.998,14.995
Mon Feb 12 16:38:04 2024,15.042,15.252,15.001,14.999,15.003,15.001
Mon Feb 12 16:38:19 2024,15.119,15.024,15.003,14.998,15.001,15.0
Mon Feb 12 16:38:34 2024,14.972,15.037,14.993,14.999,15.002,14.999
Mon Feb 12 16:38:49 2024,14.953,15.453,15.0,15.002,15.0,15.001
Mon Feb 12 16:39:04 2024,14.998,14.996,14.999,15.001,15.002,14.998
Mon Feb 12 16:39:19 2024,15.067,15.015,14.998,15.001,14.998,15.002
Mon Feb 12 16:39:34 2024,14.948,15.155,15.0,15.0,15.0,15.001
Mon Feb 12 16:39:49 2024,15.041,14.906,15.0,15.002,15.0,14.999
Mon Feb 12 16:41:14 2024,14.981,15.215,15.0,15.005,15.005,15.002
Mon Feb 12 16:41:33 2024,15.053,15.081,14.999,15.003,14.998,15.001
Mon Feb 12 16:41:52 2024,14.983,14.981,14.993,15.0,15.008,15.002
Mon Feb 12 16:42:12 2024,14.942,15.018,14.998,15.002,14.999,14.998
Mon Feb 12 16:42:31 2024,14.959,14.941,15.0,15.001,14.997,15.0
Mon Feb 12 16:42:50 2024,14.941,14.994,15.0,14.996,14.994,14.998
Mon Feb 12 16:43:09 2024,14.977,15.066,15.0,15.005,15.0,14.998
Mon Feb 12 16:43:28 2024,15.031,15.067,14.999,14.998,14.998,15.0
Mon Feb 12 16:43:47 2024,15.03,14.985,15.0,15.0,15.0,15.002
Mon Feb 12 16:44:07 2024,14.963,14.867,15.002,14.995,14.999,15.001
