Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Sun May 26 12:08:04 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,73.69874999999999,50.94427490234375,23.4788818359375,0.0,0,0,0,1,14.921999999999999
Sun May 26 12:08:12 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.01,50.94590759277344,23.40704345703125,0.0,0,0,0,1,14.921999999999999
Sun May 26 12:08:19 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.05125,50.951805114746094,23.385528564453125,0.0,0,0,0,1,15.047833333333331
Sun May 26 12:08:27 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.08624999999999,0.0,74.05125,50.95252227783203,23.444183349609375,0.0,0,0,0,1,15.047833333333331
Sun May 26 12:08:34 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.05874999999999,50.957679748535156,23.42657470703125,0.0,0,0,0,1,14.989833333333335
Sun May 26 12:08:42 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.055,50.957672119140625,23.54193115234375,0.0,0,0,0,1,14.989833333333335
Sun May 26 12:08:49 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.06625000000001,50.95366287231445,23.446563720703125,0.0,0,0,0,1,15.013666666666666
Sun May 26 12:08:56 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08875,50.95245361328125,23.4896240234375,0.0,0,0,0,1,15.013666666666666
Sun May 26 12:09:03 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.12625,50.954681396484375,23.4154052734375,0.0,0,0,0,1,15.042333333333332
Sun May 26 12:09:11 2024,24-035,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.1525,50.953582763671875,23.39825439453125,0.0,0,0,0,1,15.042333333333332
