Time,Current SP,R1,R2,R3,R4,R5,R6
Sun May 26 12:08:07 2024,25.0,23.5072021484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:14 2024,25.0,23.459320068359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:22 2024,25.0,23.454925537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:29 2024,25.0,23.4788818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:37 2024,25.0,23.43536376953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:44 2024,25.0,23.550689697265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:51 2024,25.0,23.47052001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:08:59 2024,25.0,23.37432861328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:06 2024,25.0,23.306884765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:13 2024,25.0,23.446136474609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:21 2024,25.0,23.333221435546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:28 2024,25.0,23.4437255859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:36 2024,25.0,23.35870361328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:43 2024,25.0,23.35870361328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:51 2024,25.0,23.268890380859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:09:58 2024,25.0,23.355865478515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:06 2024,25.0,23.3651123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:13 2024,25.0,23.4241943359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:20 2024,25.0,23.6416015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:28 2024,25.0,23.750091552734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:35 2024,25.0,23.791168212890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:42 2024,25.0,23.92596435546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:50 2024,25.0,23.990966796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:10:57 2024,25.0,24.010528564453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:05 2024,25.0,24.035980224609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:12 2024,25.0,23.98614501953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:20 2024,25.0,24.151641845703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:27 2024,25.0,24.08624267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:35 2024,25.0,24.012054443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:42 2024,25.0,24.10382080078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:49 2024,25.0,24.00213623046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:11:56 2024,25.0,24.039276123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:04 2024,25.0,24.00213623046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:11 2024,25.0,23.969024658203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:19 2024,25.0,24.058380126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:26 2024,25.0,24.060760498046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:34 2024,25.0,24.058807373046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:41 2024,25.0,23.96990966796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:48 2024,25.0,23.930816650390625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Sun May 26 12:12:56 2024,25.0,23.779541015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
