Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Wed Jul 10 16:27:50 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0525,0.0,73.6875,52.143836975097656,25.006011962890625,0.0,0,0,0,1,14.963833333333332
Wed Jul 10 16:27:57 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.02499999999999,52.14515686035156,24.986480712890625,0.0,0,0,0,1,14.963833333333332
Wed Jul 10 16:28:04 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.05125,52.1397705078125,25.0909423828125,0.0,0,0,0,1,15.027499999999998
Wed Jul 10 16:28:12 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.0775,52.14000701904297,25.0689697265625,0.0,0,0,0,1,15.027499999999998
Wed Jul 10 16:28:19 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,52.144004821777344,25.053863525390625,0.0,0,0,0,1,14.995333333333333
Wed Jul 10 16:28:27 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.115,52.142730712890625,25.096771240234375,0.0,0,0,0,1,14.995333333333333
Wed Jul 10 16:28:34 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.14125,52.14419937133789,24.899139404296875,0.0,0,0,0,1,14.995666666666665
Wed Jul 10 16:28:42 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.16,52.140419006347656,25.0401611328125,0.0,0,0,0,1,14.995666666666665
Wed Jul 10 16:28:49 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.1375,52.14216232299805,25.131927490234375,0.0,0,0,0,1,15.000166666666667
Wed Jul 10 16:28:56 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.1075,52.14293670654297,25.086517333984375,0.0,0,0,0,1,15.000166666666667
Wed Jul 10 16:29:04 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08875,52.14143371582031,25.110443115234375,0.0,0,0,0,1,14.997833333333332
Wed Jul 10 16:29:11 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.09625,52.146453857421875,25.30999755859375,0.0,0,0,0,1,14.997833333333332
Wed Jul 10 16:29:18 2024,24-056,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.10374999999999,52.145668029785156,25.557342529296875,0.0,0,0,0,1,14.999
