Time,1,2,3,4,5,6
Wed Jul 10 16:27:52 2024,14.933,14.973,14.966,14.979,14.969,14.963
Wed Jul 10 16:28:06 2024,15.133,15.042,14.998,14.998,14.999,14.995
Wed Jul 10 16:28:21 2024,14.994,14.995,14.998,14.998,14.998,14.989
Wed Jul 10 16:28:36 2024,14.997,14.964,15.002,15.004,15.002,15.005
Wed Jul 10 16:28:51 2024,15.0,15.001,15.001,14.999,15.0,15.0
Wed Jul 10 16:29:06 2024,14.998,14.999,14.998,14.997,14.999,14.996
Wed Jul 10 16:29:21 2024,14.997,15.001,14.998,15.0,15.0,14.998
Wed Jul 10 16:29:35 2024,14.997,15.0,14.999,15.0,15.001,15.004
Wed Jul 10 16:29:50 2024,14.997,15.002,14.998,14.998,15.001,15.004
Wed Jul 10 16:30:05 2024,15.002,15.0,15.0,15.0,15.001,15.002
Wed Jul 10 16:30:20 2024,15.0,14.999,15.002,15.002,15.001,15.0
Wed Jul 10 16:30:35 2024,14.998,15.0,14.999,15.0,15.002,15.002
Wed Jul 10 16:30:50 2024,15.0,15.0,14.999,15.001,14.999,14.995
Wed Jul 10 16:31:04 2024,14.998,15.0,15.0,15.0,14.997,14.998
Wed Jul 10 16:31:19 2024,14.998,14.999,15.0,15.0,15.001,15.003
Wed Jul 10 16:31:34 2024,14.998,15.0,14.999,15.001,14.998,14.998
Wed Jul 10 16:31:49 2024,14.997,14.999,15.0,15.002,14.998,15.0
Wed Jul 10 16:32:04 2024,14.998,15.002,14.999,14.995,15.002,14.997
Wed Jul 10 16:32:18 2024,14.998,15.003,15.0,15.0,14.998,15.0
Wed Jul 10 16:32:33 2024,14.998,14.998,15.0,14.999,15.002,15.001
Wed Jul 10 16:32:48 2024,15.0,15.0,15.0,15.001,14.998,14.998
Wed Jul 10 16:33:04 2024,14.998,15.001,15.0,15.002,14.995,15.0
Wed Jul 10 16:34:29 2024,15.0,15.001,15.0,14.998,14.998,15.0
Wed Jul 10 16:34:47 2024,15.0,15.0,15.002,15.0,14.999,14.998
Wed Jul 10 16:35:06 2024,15.002,15.002,14.999,15.0,14.999,15.002
Wed Jul 10 16:35:25 2024,15.0,15.0,15.001,15.001,15.0,15.0
Wed Jul 10 16:35:44 2024,14.998,14.998,14.998,14.999,15.0,14.999
Wed Jul 10 16:36:03 2024,14.997,15.0,15.0,15.0,15.0,15.0
Wed Jul 10 16:36:22 2024,14.998,15.0,15.0,15.0,14.998,15.0
Wed Jul 10 16:36:41 2024,14.998,15.002,14.999,15.002,15.002,15.001
Wed Jul 10 16:37:00 2024,15.0,15.0,15.0,15.0,15.003,14.999
Wed Jul 10 16:37:19 2024,14.998,15.002,14.999,15.0,15.005,15.0
Wed Jul 10 16:37:38 2024,14.998,15.0,15.0,15.0,15.0,15.001
Wed Jul 10 16:37:57 2024,15.0,14.999,15.002,15.0,15.0,14.999
Wed Jul 10 16:38:16 2024,15.0,15.0,15.0,15.002,14.999,15.001
Wed Jul 10 16:38:35 2024,14.998,14.998,15.0,15.0,14.998,15.002
Wed Jul 10 16:38:54 2024,14.998,14.997,15.003,14.999,15.002,15.003
Wed Jul 10 16:39:13 2024,15.0,15.0,15.0,15.001,15.002,14.999
Wed Jul 10 16:39:32 2024,15.0,15.002,15.0,14.998,15.0,15.001
Wed Jul 10 16:39:51 2024,15.003,15.004,15.001,15.0,15.001,15.003
Wed Jul 10 16:40:09 2024,15.0,14.998,15.0,15.002,15.001,15.001
Wed Jul 10 16:40:28 2024,14.998,15.002,15.001,15.0,15.0,15.001
Wed Jul 10 16:40:47 2024,14.997,15.0,14.999,14.999,15.0,14.999
Wed Jul 10 16:41:06 2024,15.003,14.977,15.0,15.0,14.998,15.001
Wed Jul 10 16:42:31 2024,15.002,15.0,14.999,15.0,14.999,15.001
Wed Jul 10 16:42:50 2024,14.998,14.999,15.0,15.002,14.999,14.998
Wed Jul 10 16:43:09 2024,14.991,14.999,14.999,15.0,15.0,15.0
Wed Jul 10 16:43:28 2024,15.0,15.0,15.0,15.0,15.0,15.001
Wed Jul 10 16:43:47 2024,15.003,14.997,15.0,15.001,15.001,14.999
Wed Jul 10 16:44:06 2024,15.0,15.0,14.997,15.0,15.003,15.002
Wed Jul 10 16:44:25 2024,15.002,15.0,15.0,14.998,15.0,14.999
Wed Jul 10 16:44:44 2024,14.998,15.001,15.0,15.001,15.001,14.999
Wed Jul 10 16:45:02 2024,15.002,15.0,15.0,15.0,14.999,14.998
Wed Jul 10 16:45:22 2024,14.998,15.0,14.999,15.001,15.002,14.998
Wed Jul 10 16:45:40 2024,15.0,14.998,14.998,15.0,15.0,15.0
Wed Jul 10 16:45:59 2024,15.0,14.999,15.0,15.0,15.003,14.999
Wed Jul 10 16:46:18 2024,15.0,15.0,15.0,14.999,15.0,15.0
Wed Jul 10 16:46:37 2024,14.997,15.002,14.997,14.998,14.999,14.999
Wed Jul 10 16:46:56 2024,15.0,15.0,15.0,15.0,15.0,15.001
Wed Jul 10 16:47:15 2024,14.998,15.0,14.999,14.999,15.0,15.001
Wed Jul 10 16:47:34 2024,14.998,14.998,15.001,14.999,14.998,15.001
Wed Jul 10 16:47:52 2024,15.0,15.001,15.0,14.998,15.0,15.0
Wed Jul 10 16:48:11 2024,15.0,15.001,15.002,15.0,14.999,14.999
Wed Jul 10 16:48:30 2024,15.0,15.0,14.998,14.999,15.0,15.0
Wed Jul 10 16:48:49 2024,15.002,14.998,15.0,14.998,14.999,14.998
Wed Jul 10 16:49:08 2024,14.992,14.999,15.0,15.001,15.002,14.999
Wed Jul 10 16:50:33 2024,14.997,15.0,15.0,15.0,15.0,15.0
Wed Jul 10 16:50:52 2024,15.003,15.001,15.0,15.0,14.998,14.999
Wed Jul 10 16:51:11 2024,14.998,14.998,15.0,15.003,15.0,14.999
Wed Jul 10 16:51:30 2024,14.992,15.001,14.999,14.997,15.001,15.0
Wed Jul 10 16:51:49 2024,15.003,14.997,15.001,15.0,15.0,15.0
Wed Jul 10 16:52:08 2024,15.005,14.999,15.0,15.0,15.0,15.001
Wed Jul 10 16:52:27 2024,14.998,14.999,15.0,15.0,15.001,15.001
Wed Jul 10 16:52:46 2024,15.0,14.998,15.0,15.0,15.001,15.001
Wed Jul 10 16:53:05 2024,15.0,15.001,15.001,14.999,15.001,14.999
Wed Jul 10 16:53:25 2024,15.0,15.001,15.0,15.0,15.0,15.002
Wed Jul 10 16:53:44 2024,14.998,15.0,15.0,14.999,15.003,15.003
Wed Jul 10 16:54:03 2024,15.006,14.999,14.999,15.002,15.0,15.001
Wed Jul 10 16:54:22 2024,15.0,14.997,14.999,15.001,15.0,14.998
Wed Jul 10 16:54:40 2024,14.997,15.0,15.001,15.0,14.998,14.999
Wed Jul 10 16:54:59 2024,15.002,15.001,15.0,14.999,15.001,15.001
Wed Jul 10 16:55:18 2024,15.002,15.0,15.0,14.999,15.0,15.002
Wed Jul 10 16:55:37 2024,15.002,15.002,14.999,15.001,14.999,15.001
Wed Jul 10 16:55:56 2024,15.0,15.002,14.999,14.995,15.0,15.002
Wed Jul 10 16:56:15 2024,15.0,14.998,15.0,15.0,15.001,14.997
Wed Jul 10 16:56:34 2024,15.0,15.0,14.999,14.999,15.0,15.001
Wed Jul 10 16:56:52 2024,15.0,15.0,14.998,14.999,15.0,14.999
Wed Jul 10 16:57:11 2024,15.0,14.999,14.998,14.999,15.002,15.0
Wed Jul 10 16:58:36 2024,14.998,15.0,15.002,15.0,14.997,15.002
Wed Jul 10 16:58:55 2024,14.997,15.0,14.998,14.999,15.0,15.0
Wed Jul 10 16:59:14 2024,14.998,15.005,15.0,15.0,15.0,15.002
Wed Jul 10 16:59:33 2024,15.0,15.0,15.0,14.997,15.0,15.0
Wed Jul 10 16:59:52 2024,14.998,15.0,14.999,14.997,15.002,14.998
Wed Jul 10 17:00:11 2024,15.003,15.002,14.999,14.999,15.0,14.998
Wed Jul 10 17:00:30 2024,15.002,14.998,15.0,15.0,15.0,15.005
Wed Jul 10 17:00:49 2024,14.998,15.001,15.0,14.999,14.999,15.005
Wed Jul 10 17:01:08 2024,15.0,15.0,14.999,14.999,15.001,15.003
Wed Jul 10 17:01:27 2024,15.0,15.0,15.001,15.001,15.001,15.0
Wed Jul 10 17:01:46 2024,15.0,15.001,15.002,15.0,15.001,15.0
Wed Jul 10 17:02:05 2024,15.002,14.999,15.001,15.001,15.0,14.995
Wed Jul 10 17:02:24 2024,14.997,14.998,15.001,15.001,15.002,14.995
Wed Jul 10 17:02:43 2024,15.002,15.0,15.0,15.002,15.001,14.995
Wed Jul 10 17:03:02 2024,15.0,15.0,15.0,14.998,15.0,14.995
Wed Jul 10 17:03:21 2024,15.0,15.0,15.0,15.0,15.0,14.998
Wed Jul 10 17:03:40 2024,15.002,14.999,14.999,15.0,15.002,15.0
Wed Jul 10 17:03:59 2024,15.002,15.002,15.0,14.999,14.999,14.999
Wed Jul 10 17:04:17 2024,14.997,14.997,14.999,14.999,15.0,15.002
Wed Jul 10 17:04:36 2024,15.003,15.0,15.0,15.003,15.0,15.005
Wed Jul 10 17:04:55 2024,15.002,15.0,15.0,15.002,14.999,15.005
