Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Mon Jul  1 12:03:22 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.045,0.0,73.6725,51.065521240234375,23.785919189453125,0.0,0,0,0,1,15.0355
Mon Jul  1 12:03:30 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0675,0.0,74.02499999999999,51.06690216064453,23.85089111328125,0.0,0,0,0,1,15.0355
Mon Jul  1 12:03:37 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.055,51.06650161743164,23.864105224609375,0.0,0,0,0,1,14.996666666666664
Mon Jul  1 12:03:45 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.06625000000001,51.06324768066406,23.85968017578125,0.0,0,0,0,1,14.996666666666664
Mon Jul  1 12:03:52 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.0625,51.05335235595703,23.85089111328125,0.0,0,0,0,1,14.997
Mon Jul  1 12:03:59 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.07375,51.0572509765625,23.881683349609375,0.0,0,0,0,1,14.997
Mon Jul  1 12:04:07 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08875,51.05906677246094,23.86016845703125,0.0,0,0,0,1,14.998166666666664
Mon Jul  1 12:04:14 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.09625,51.05541229248047,23.86846923828125,0.0,0,0,0,1,14.998166666666664
Mon Jul  1 12:04:21 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.13,51.0574951171875,23.853363037109375,0.0,0,0,0,1,15.003
Mon Jul  1 12:04:29 2024,24-053,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.16375000000001,51.05812072753906,23.83819580078125,0.0,0,0,0,1,15.003
