,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,lifetime_yield_sd,Y_pc_sd,sqrtY0Y_pc_sd,loo-cv_pred_mu,loo-cv_pred_sigma,euclidean_distance,residual,abs_residual
0,1,0,0,0,0,0,0,0,0.009887835142857144,0.07916734885714284,7.906377920857143,7.1228920005714285,0.7494297671428571,1.3915225140708571,0.11752771800942857,0.012365591157857143,2.143836271122612,0.5977102163644815,5.0700201521031305,1.394406503979755,1.394406503979755
34,1,4,0,0,0,4,0,0,0.0005433578888888889,0.3226196712222222,611.4422886,72.60053022111111,4.839589604333333,107.61384279359999,1.1979087486483335,0.07985322847149999,4.290771021018543,0.8344201023297497,5.601636951228135,-0.54881858331479,0.54881858331479
37,1,4,0,0,4,0,0,0,0.001115562,0.324569864,290.94752410000007,68.34046401,4.709697987,51.206764241600006,1.1276176561650002,0.0777100167855,3.538964013078704,0.8638849919088085,5.542024592407201,-1.1707339739212963,1.1707339739212963
46,1,4,4,0,0,0,0,0,0.001330542,0.255995058,192.399017,52.59504484,3.669342117,33.862226992,0.8678182398600001,0.0605441449305,2.221807238815946,1.724342947608828,6.188883823953908,-1.4475348781840536,1.4475348781840536
43,1,4,0,4,0,0,0,0,0.001500437,0.282907305,188.549957,57.01690709,4.016279311,33.184792432,0.940778966985,0.0662686086315,3.3509929966297194,1.4913290767406862,6.110570966469107,-0.6652863143702805,0.6652863143702805
18,1,0,4,0,4,0,0,0,0.0049884890000000005,0.068071433,13.64570222,9.52432536,0.805192199,2.40164359072,0.15715136844000002,0.013285671283500002,2.4150273387911603,1.9031667437649387,6.263112148186706,1.6098351397911603,1.6098351397911603
19,1,0,4,4,0,0,0,0,0.005174767,0.116182664,22.45176614,15.96719853,1.36202484,3.9515108406399997,0.263458775745,0.022473409859999998,0.9836902130525453,2.1997432980445146,6.792434505795745,-0.37833462694745457,0.37833462694745457
17,1,0,4,0,0,4,0,0,0.00272163,0.16759881,61.58029628,29.53499256,2.2248662009999998,10.83813214528,0.48732737724,0.0367102923165,1.7621475120910852,2.098515381834542,6.419666090175042,-0.46271868890891454,0.46271868890891454
6,1,0,0,0,4,4,0,0,0.0019859739999999997,0.25766362,129.7417082,49.1889842,3.5600859160000002,22.8345406432,0.8116182393,0.05874141761400001,3.9139041767978973,1.6578891937528584,5.717476969135602,0.353818260797897,0.353818260797897
13,1,0,0,4,4,0,0,0,0.006095517,0.145620301,23.889739000000002,18.3578738,1.6350165490000002,4.204594064,0.3029049177,0.026977773058500003,2.7326331635579666,1.8923629334673413,6.212041900763951,1.0976166145579664,1.0976166145579664
12,1,0,0,4,0,4,0,0,0.003000218,0.206898597,68.96118825,35.39593028,2.70617226,12.137169132,0.58403284962,0.04465184229000001,2.297676203147872,1.826861607242907,6.350872166299772,-0.4084960568521283,0.4084960568521283
1,1,0,0,0,0,1,0,0,0.0066394869999999995,0.052747453,7.944506787999999,6.330041625,0.577835248,1.3982331946879998,0.10444568681250001,0.009534281592,2.4507401590641686,0.6281863762985359,4.91182939547074,1.8729049110641687,1.8729049110641687
2,1,0,0,0,0,4,0,0,0.005610321,0.21191034600000003,37.77151922,27.94506333,2.433484752,6.64778738272,0.46109354494500004,0.040152498408000004,1.1005784988798968,1.2488107441153047,5.508154406611846,-1.3329062531201032,1.3329062531201032
3,1,0,0,0,0,8,0,0,0.0065548659999999995,0.162040571,24.7206527,19.593906699999998,1.7818551630000001,4.3508348751999995,0.32329946055,0.029400610189500003,1.6239413930450888,2.314098511103654,8.096679138747945,-0.15791376995491135,0.15791376995491135
