Time,1,2,3,4,5,6
Tue Jul 30 12:54:22 2024,14.925,14.995,14.968,14.978,14.97,14.965
Tue Jul 30 12:54:37 2024,15.009,14.998,14.997,14.998,14.998,14.904
Tue Jul 30 12:54:52 2024,14.995,15.0,14.998,14.995,14.995,15.008
Tue Jul 30 12:55:07 2024,14.997,15.002,15.002,15.0,15.002,15.004
Tue Jul 30 12:55:21 2024,14.998,14.732,15.002,15.009,15.002,15.006
Tue Jul 30 12:55:36 2024,15.0,15.0,14.999,14.995,14.997,15.007
Tue Jul 30 12:55:51 2024,14.998,14.998,14.998,14.998,14.989,14.996
Tue Jul 30 12:56:06 2024,14.995,14.999,15.002,15.002,14.997,14.993
Tue Jul 30 12:56:20 2024,14.997,14.997,14.999,15.002,14.999,14.996
Tue Jul 30 12:56:35 2024,14.997,15.002,15.0,14.998,15.001,14.999
Tue Jul 30 12:56:50 2024,15.0,15.001,15.0,15.001,14.997,14.998
Tue Jul 30 12:57:05 2024,14.998,14.988,14.997,14.999,15.002,14.994
Tue Jul 30 12:57:19 2024,14.998,14.998,15.002,15.0,15.001,15.004
Tue Jul 30 12:57:34 2024,14.995,15.002,14.998,15.001,15.0,14.998
Tue Jul 30 12:57:49 2024,15.0,15.001,15.0,15.0,15.002,15.0
Tue Jul 30 12:58:04 2024,14.998,14.999,15.0,15.0,15.002,14.999
Tue Jul 30 12:58:18 2024,15.0,15.002,15.002,15.001,15.0,14.999
Tue Jul 30 12:58:33 2024,15.0,14.997,14.998,15.0,15.005,15.0
Tue Jul 30 12:58:48 2024,15.0,14.997,14.998,15.0,15.0,15.0
Tue Jul 30 12:59:03 2024,15.0,15.0,15.002,14.999,15.002,15.002
Tue Jul 30 12:59:17 2024,15.0,15.0,15.001,15.002,14.998,14.998
Tue Jul 30 12:59:32 2024,15.002,15.0,15.001,15.0,15.0,15.001
Tue Jul 30 12:59:47 2024,15.0,15.001,14.998,14.999,15.0,15.0
Tue Jul 30 13:00:02 2024,14.998,15.0,15.0,14.998,15.001,15.001
Tue Jul 30 13:00:16 2024,15.0,15.0,15.0,14.999,15.0,15.0
Tue Jul 30 13:00:31 2024,14.998,15.0,15.0,15.002,14.999,14.999
Tue Jul 30 13:00:46 2024,14.998,15.0,15.0,14.996,15.0,15.002
Tue Jul 30 13:01:00 2024,15.0,14.999,15.0,14.998,15.0,15.003
Tue Jul 30 13:01:15 2024,14.998,14.999,15.0,15.001,15.003,15.002
Tue Jul 30 13:01:30 2024,15.0,14.999,15.0,15.0,14.998,14.999
Tue Jul 30 13:01:45 2024,15.0,14.999,14.999,15.0,15.002,14.999
Tue Jul 30 13:01:59 2024,15.0,14.999,14.999,15.001,15.002,14.998
Tue Jul 30 13:02:14 2024,15.0,15.003,15.001,15.0,15.002,14.999
Tue Jul 30 13:02:29 2024,15.005,15.004,14.999,14.999,15.001,15.001
Tue Jul 30 13:02:44 2024,15.002,15.001,15.0,15.0,15.001,14.998
Tue Jul 30 13:02:58 2024,15.0,14.998,14.999,15.001,15.0,15.0
Tue Jul 30 13:03:13 2024,15.0,15.0,15.002,14.999,14.999,15.0
Tue Jul 30 13:03:28 2024,15.002,15.0,14.998,15.0,15.0,14.998
Tue Jul 30 13:03:43 2024,15.003,15.0,15.002,15.001,15.0,14.998
Tue Jul 30 13:03:57 2024,15.0,14.999,14.998,14.999,14.999,15.001
Tue Jul 30 13:04:12 2024,15.0,15.0,15.001,15.001,15.003,14.998
Tue Jul 30 13:04:27 2024,15.0,15.0,15.0,15.002,15.002,14.993
Tue Jul 30 13:04:41 2024,15.002,15.0,15.001,15.001,15.0,14.999
Tue Jul 30 13:04:56 2024,14.998,14.998,15.001,14.999,14.999,15.002
Tue Jul 30 13:05:11 2024,15.0,15.0,14.998,14.999,14.999,15.002
Tue Jul 30 13:05:26 2024,15.0,14.999,15.0,15.002,15.0,14.995
