Time,Current SP,R1,R2,R3,R4,R5,R6
Tue Jul 30 12:54:23 2024,25.0,24.293853759765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:54:30 2024,25.0,24.365631103515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:54:38 2024,25.0,24.4617919921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:54:45 2024,25.0,24.433929443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:54:52 2024,25.0,24.4661865234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:00 2024,25.0,24.4378662109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:07 2024,25.0,24.2420654296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:14 2024,25.0,24.332427978515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:22 2024,25.0,24.295318603515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:29 2024,25.0,24.284576416015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:37 2024,25.0,24.371978759765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:44 2024,25.0,24.4178466796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:51 2024,25.0,24.4744873046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:55:59 2024,25.0,24.4652099609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:06 2024,25.0,24.6112060546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:13 2024,25.0,24.82208251953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:21 2024,25.0,24.960693359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:28 2024,25.0,25.186614990234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:36 2024,25.0,25.206146240234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:43 2024,25.0,25.3427734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:51 2024,25.0,25.420806884765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:56:58 2024,25.0,25.451568603515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:05 2024,25.0,25.430084228515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:12 2024,25.0,25.423736572265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:20 2024,25.0,25.50860595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:27 2024,25.0,25.32763671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:35 2024,25.0,25.386199951171875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:42 2024,25.0,25.308135986328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:49 2024,25.0,25.34716796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:57:57 2024,25.0,25.273468017578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:04 2024,25.0,25.38226318359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:11 2024,25.0,25.25836181640625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:19 2024,25.0,25.29058837890625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:26 2024,25.0,25.131988525390625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:34 2024,25.0,25.145172119140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:41 2024,25.0,25.1329345703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:48 2024,25.0,25.22369384765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:58:56 2024,25.0,25.152435302734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:03 2024,25.0,25.102203369140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:10 2024,25.0,25.023651123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:18 2024,25.0,25.07147216796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:25 2024,25.0,25.047576904296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:33 2024,25.0,24.999725341796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:40 2024,25.0,24.889434814453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:47 2024,25.0,24.935302734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 12:59:55 2024,25.0,25.03094482421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:02 2024,25.0,24.948486328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:09 2024,25.0,24.917755126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:17 2024,25.0,24.863067626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:24 2024,25.0,24.7039794921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:32 2024,25.0,24.832366943359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:39 2024,25.0,24.6995849609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:46 2024,25.0,24.7342529296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:00:53 2024,25.0,24.6864013671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:01 2024,25.0,24.7122802734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:08 2024,25.0,24.677642822265625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:16 2024,25.0,24.7406005859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:23 2024,25.0,24.7430419921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:30 2024,25.0,24.793304443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:38 2024,25.0,24.730804443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:45 2024,25.0,24.706878662109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:01:52 2024,25.0,24.87188720703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:00 2024,25.0,24.77032470703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:07 2024,25.0,24.702972412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:15 2024,25.0,24.71612548828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:22 2024,25.0,24.67706298828125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:29 2024,25.0,24.70343017578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:37 2024,25.0,24.624847412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:44 2024,25.0,24.659027099609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:51 2024,25.0,24.6375732421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:02:59 2024,25.0,24.672698974609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:06 2024,25.0,24.609710693359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:14 2024,25.0,24.687347412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:21 2024,25.0,24.672698974609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:28 2024,25.0,24.848907470703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:36 2024,25.0,24.668304443359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:43 2024,25.0,24.670257568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:50 2024,25.0,24.71807861328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:03:58 2024,25.0,24.672698974609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:05 2024,25.0,24.720550537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:13 2024,25.0,24.753265380859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:20 2024,25.0,24.611663818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:27 2024,25.0,24.6243896484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:34 2024,25.0,24.659515380859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:42 2024,25.0,24.5770263671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:49 2024,25.0,24.670257568359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue Jul 30 13:04:57 2024,25.0,24.681488037109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
