Time,1,2,3,4,5,6
Fri Feb 16 11:35:40 2024,13.909,14.787,14.934,14.951,14.955,14.408
Fri Feb 16 11:35:55 2024,15.034,15.606,14.999,15.027,15.005,15.015
Fri Feb 16 11:36:10 2024,14.892,15.029,14.998,15.002,14.996,15.008
Fri Feb 16 11:36:24 2024,14.997,14.958,15.003,15.003,15.002,15.004
Fri Feb 16 11:36:39 2024,14.902,14.996,15.002,14.997,14.998,15.004
Fri Feb 16 11:36:54 2024,14.991,14.902,14.998,14.991,14.988,14.998
Fri Feb 16 11:37:09 2024,14.991,14.969,15.001,14.997,15.004,14.993
Fri Feb 16 11:37:24 2024,14.988,15.017,15.0,14.997,14.999,15.005
Fri Feb 16 11:37:39 2024,15.0,15.0,15.001,15.002,14.999,14.998
Fri Feb 16 11:37:54 2024,15.0,14.999,14.995,14.996,15.03,15.002
Fri Feb 16 11:38:09 2024,15.002,15.025,15.0,15.001,14.995,14.996
Fri Feb 16 11:38:23 2024,15.0,14.999,15.0,15.003,14.998,14.998
Fri Feb 16 11:38:38 2024,14.998,15.002,15.0,14.998,15.001,15.001
Fri Feb 16 11:38:53 2024,14.998,15.002,14.998,14.999,14.996,15.002
Fri Feb 16 11:39:08 2024,14.991,15.003,14.998,14.998,14.997,15.002
Fri Feb 16 11:39:23 2024,15.0,15.002,14.999,14.995,14.997,14.996
Fri Feb 16 11:39:38 2024,14.995,14.998,15.0,15.003,15.001,15.002
Fri Feb 16 11:39:52 2024,15.0,15.0,15.0,15.002,15.0,14.999
Fri Feb 16 11:40:07 2024,15.0,14.996,14.998,15.002,15.004,15.001
Fri Feb 16 11:40:22 2024,15.0,15.003,15.001,15.0,14.998,14.998
Fri Feb 16 11:40:37 2024,14.992,14.973,15.002,15.0,15.006,14.999
Fri Feb 16 11:40:53 2024,15.0,15.002,15.0,15.001,15.001,15.002
Fri Feb 16 11:42:18 2024,15.0,14.994,15.0,15.001,14.998,15.0
Fri Feb 16 11:42:37 2024,15.0,15.0,15.0,14.997,14.999,15.0
Fri Feb 16 11:42:56 2024,14.998,14.999,15.0,15.001,14.999,15.002
Fri Feb 16 11:43:15 2024,15.0,14.995,15.0,15.0,15.002,14.997
Fri Feb 16 11:43:34 2024,15.002,14.999,15.0,15.001,14.999,14.999
Fri Feb 16 11:43:53 2024,14.998,14.998,15.0,15.0,14.998,15.0
Fri Feb 16 11:44:12 2024,14.998,14.971,15.002,15.002,15.005,15.008
Fri Feb 16 11:44:31 2024,15.003,15.001,15.001,15.0,15.001,15.0
Fri Feb 16 11:44:50 2024,15.0,15.0,15.0,14.999,15.0,15.0
Fri Feb 16 11:45:09 2024,15.0,14.998,15.001,15.002,15.002,15.001
Fri Feb 16 11:45:29 2024,15.002,15.031,15.001,14.997,15.004,15.002
Fri Feb 16 11:45:47 2024,15.0,14.998,15.0,14.998,14.998,15.002
Fri Feb 16 11:46:06 2024,14.998,15.0,15.0,15.001,15.0,14.999
Fri Feb 16 11:46:25 2024,14.998,14.991,15.0,15.002,15.001,14.999
Fri Feb 16 11:46:44 2024,15.002,14.998,14.998,15.0,15.001,14.998
Fri Feb 16 11:47:03 2024,14.998,14.996,14.998,15.002,15.002,15.002
Fri Feb 16 11:47:22 2024,15.0,15.0,14.999,15.002,14.999,15.002
Fri Feb 16 11:47:41 2024,14.997,15.002,15.002,15.006,15.005,15.0
Fri Feb 16 11:47:59 2024,15.555,15.0,15.0,15.001,15.001,15.0
Fri Feb 16 11:48:18 2024,15.002,15.004,15.0,15.002,14.998,14.998
Fri Feb 16 11:48:37 2024,14.998,15.003,15.004,15.002,15.006,15.001
Fri Feb 16 11:48:56 2024,14.997,14.999,15.0,15.0,14.998,15.001
Fri Feb 16 11:50:21 2024,15.002,15.002,15.0,15.002,14.999,15.001
Fri Feb 16 11:50:40 2024,15.002,14.999,15.003,14.999,14.986,15.002
Fri Feb 16 11:50:59 2024,15.002,15.0,15.0,15.0,15.0,14.999
Fri Feb 16 11:51:18 2024,14.998,14.999,14.998,15.001,15.0,14.999
Fri Feb 16 11:51:37 2024,15.012,14.995,14.999,14.998,15.001,15.001
Fri Feb 16 11:51:56 2024,15.0,14.998,14.999,15.001,15.0,14.998
Fri Feb 16 11:52:15 2024,15.0,15.0,15.001,14.999,15.003,15.0
Fri Feb 16 11:52:34 2024,15.0,15.002,14.996,15.0,14.998,14.999
Fri Feb 16 11:52:53 2024,14.997,14.999,15.0,14.999,14.997,14.999
Fri Feb 16 11:53:13 2024,14.997,14.998,15.001,15.001,15.0,15.001
Fri Feb 16 11:53:32 2024,15.003,15.002,14.998,15.002,15.002,15.002
Fri Feb 16 11:53:51 2024,15.0,14.979,14.999,15.002,15.001,15.001
Fri Feb 16 11:54:10 2024,15.016,15.001,15.0,15.001,15.001,15.0
Fri Feb 16 11:54:29 2024,15.0,14.999,14.999,14.998,14.995,14.997
Fri Feb 16 11:54:47 2024,15.055,14.992,15.005,15.001,15.002,15.001
Fri Feb 16 11:55:06 2024,14.961,15.0,15.002,14.998,14.998,15.003
