Time,Current SP,R1,R2,R3,R4,R5,R6
Thu Mar 14 12:04:16 2024,25.0,24.51446533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:04:23 2024,25.0,24.512481689453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:04:31 2024,25.0,24.566680908203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:04:38 2024,25.0,24.516876220703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:04:46 2024,25.0,24.558319091796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:04:53 2024,25.0,24.482177734375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:01 2024,25.0,24.549102783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:08 2024,25.0,24.655548095703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:16 2024,25.0,24.649169921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:23 2024,25.0,24.714569091796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:31 2024,25.0,24.744384765625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:38 2024,25.0,24.700958251953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:45 2024,25.0,24.775115966796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:05:53 2024,25.0,24.766326904296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:00 2024,25.0,24.75360107421875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:08 2024,25.0,24.71697998046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:15 2024,25.0,24.732147216796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:23 2024,25.0,24.79180908203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:30 2024,25.0,24.759552001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:38 2024,25.0,24.716522216796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:45 2024,25.0,24.651611328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:06:52 2024,25.0,24.781890869140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:00 2024,25.0,24.758026123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:07 2024,25.0,24.76678466796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:15 2024,25.0,24.75164794921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:22 2024,25.0,24.784332275390625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:30 2024,25.0,24.721343994140625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:37 2024,25.0,24.76239013671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:45 2024,25.0,24.673095703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:07:52 2024,25.0,24.653594970703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:00 2024,25.0,24.740447998046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:07 2024,25.0,24.608154296875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:15 2024,25.0,24.72332763671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:22 2024,25.0,24.66473388671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:30 2024,25.0,24.640838623046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:37 2024,25.0,24.669158935546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:45 2024,25.0,24.675506591796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:08:52 2024,25.0,24.620880126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:00 2024,25.0,24.712158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:07 2024,25.0,24.701416015625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:15 2024,25.0,24.59259033203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:23 2024,25.0,24.599365234375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:31 2024,27.57693902651469,24.77752685546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:37 2024,29.56048623720805,24.630096435546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:42 2024,31.505730311075848,24.675506591796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:48 2024,33.464797496795654,24.545196533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:09:54 2024,35.428666273752846,24.640838623046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:10:00 2024,37.37654050191244,24.74285888671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Thu Mar 14 12:10:06 2024,39.318558057149254,24.76678466796875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
