Time,1,2,3,4,5,6
Thu Mar 14 12:04:15 2024,16.016,15.135,15.128,14.977,14.968,15.116
Thu Mar 14 12:04:30 2024,14.736,15.079,14.996,15.009,15.002,14.996
Thu Mar 14 12:04:45 2024,14.933,14.965,14.995,14.997,14.995,14.994
Thu Mar 14 12:05:00 2024,15.056,14.886,14.999,15.007,15.009,14.994
Thu Mar 14 12:05:15 2024,15.038,15.027,14.999,14.997,14.994,14.99
Thu Mar 14 12:05:30 2024,15.006,15.169,14.999,15.005,14.998,15.012
Thu Mar 14 12:05:45 2024,14.9,14.766,15.003,14.999,15.004,15.002
Thu Mar 14 12:06:00 2024,14.877,14.828,14.997,15.001,14.991,14.998
Thu Mar 14 12:06:15 2024,14.991,14.909,15.0,14.998,14.998,15.002
Thu Mar 14 12:06:30 2024,14.995,14.93,14.999,14.997,14.999,15.0
Thu Mar 14 12:06:45 2024,14.984,14.823,14.999,14.995,14.998,14.999
Thu Mar 14 12:07:00 2024,15.0,14.998,14.998,14.998,14.999,15.002
Thu Mar 14 12:07:15 2024,14.997,14.765,14.998,15.004,15.0,14.998
Thu Mar 14 12:07:30 2024,15.006,15.013,14.998,14.998,15.002,15.002
Thu Mar 14 12:07:44 2024,15.022,15.132,15.001,14.995,14.998,14.995
Thu Mar 14 12:07:59 2024,15.006,15.173,14.998,14.998,15.004,15.003
Thu Mar 14 12:08:14 2024,15.0,14.908,14.998,15.0,14.998,14.993
Thu Mar 14 12:08:29 2024,15.003,14.798,15.001,15.001,15.0,15.002
Thu Mar 14 12:08:44 2024,14.998,15.024,14.998,15.001,14.999,14.998
Thu Mar 14 12:08:59 2024,14.995,15.305,14.998,15.001,14.999,15.001
Thu Mar 14 12:09:14 2024,14.998,14.969,14.998,15.001,14.999,14.995
Thu Mar 14 12:09:30 2024,15.0,14.859,15.002,14.999,15.0,15.0
Thu Mar 14 12:10:55 2024,14.994,15.153,15.0,14.998,15.0,14.994
Thu Mar 14 12:11:14 2024,15.003,14.871,15.001,15.002,14.997,14.988
Thu Mar 14 12:11:33 2024,14.998,15.252,15.001,14.999,15.003,14.999
Thu Mar 14 12:11:52 2024,15.0,14.876,15.002,14.999,15.001,14.998
Thu Mar 14 12:12:11 2024,15.002,15.236,15.0,15.0,14.999,14.998
Thu Mar 14 12:12:30 2024,14.997,14.935,14.997,14.999,14.999,14.999
Thu Mar 14 12:12:49 2024,15.039,14.891,15.0,14.997,15.004,15.002
Thu Mar 14 12:13:08 2024,15.0,15.527,15.001,14.998,15.002,15.002
Thu Mar 14 12:13:27 2024,15.067,14.819,15.0,14.998,15.004,15.003
Thu Mar 14 12:13:47 2024,15.025,15.154,15.001,15.002,14.999,15.002
Thu Mar 14 12:14:06 2024,15.02,14.902,15.002,15.001,14.999,15.002
Thu Mar 14 12:14:25 2024,14.941,14.852,15.0,15.001,15.002,15.003
Thu Mar 14 12:14:44 2024,14.917,14.888,14.999,14.998,14.998,14.998
Thu Mar 14 12:15:03 2024,14.933,14.882,15.0,15.002,14.998,14.998
Thu Mar 14 12:15:22 2024,15.011,14.886,15.0,15.0,14.999,15.0
Thu Mar 14 12:15:41 2024,14.92,14.995,15.0,15.002,15.002,15.0
Thu Mar 14 12:15:59 2024,14.961,15.047,15.0,14.998,14.998,14.999
Thu Mar 14 12:16:18 2024,14.942,15.059,14.999,14.997,14.998,15.002
Thu Mar 14 12:16:37 2024,14.919,14.987,15.0,14.997,14.999,15.001
Thu Mar 14 12:16:56 2024,14.909,14.956,14.998,15.0,15.003,15.001
Thu Mar 14 12:17:15 2024,14.967,15.061,15.001,14.999,14.998,14.998
Thu Mar 14 12:17:34 2024,14.98,14.927,14.998,14.999,14.999,14.997
Thu Mar 14 12:18:59 2024,15.023,14.871,15.002,15.003,15.0,15.0
Thu Mar 14 12:19:18 2024,14.973,14.888,14.998,14.999,14.998,14.998
Thu Mar 14 12:19:37 2024,15.036,15.036,15.0,14.999,14.996,15.002
Thu Mar 14 12:19:56 2024,14.911,15.012,15.001,14.999,15.0,14.999
Thu Mar 14 12:20:15 2024,14.964,15.151,15.0,15.005,15.001,14.998
Thu Mar 14 12:20:34 2024,15.027,15.055,14.998,14.999,15.001,15.001
Thu Mar 14 12:20:53 2024,14.92,15.391,15.0,14.999,15.0,15.001
Thu Mar 14 12:21:12 2024,15.006,15.32,14.999,15.002,14.999,15.001
Thu Mar 14 12:21:31 2024,15.223,15.21,15.001,14.999,15.001,15.0
Thu Mar 14 12:21:50 2024,14.942,15.158,15.0,14.997,15.001,14.999
Thu Mar 14 12:22:09 2024,14.963,14.95,15.002,15.0,15.002,15.001
Thu Mar 14 12:22:28 2024,15.05,15.205,15.0,14.997,15.0,14.998
Thu Mar 14 12:22:47 2024,15.278,15.25,14.998,15.0,15.0,14.998
Thu Mar 14 12:23:05 2024,14.905,15.414,15.001,15.002,15.002,14.999
Thu Mar 14 12:23:24 2024,14.952,14.939,15.0,14.999,15.0,15.0
Thu Mar 14 12:23:43 2024,14.998,15.053,15.001,14.998,14.999,14.999
Thu Mar 14 12:24:02 2024,15.045,14.913,15.0,14.999,14.999,15.0
Thu Mar 14 12:24:21 2024,15.08,14.908,15.001,15.005,15.001,15.001
Thu Mar 14 12:24:40 2024,14.908,14.89,14.998,14.999,15.001,14.998
Thu Mar 14 12:24:59 2024,14.939,14.941,15.0,15.003,15.001,15.003
Thu Mar 14 12:25:18 2024,14.961,15.03,14.999,14.999,14.999,15.0
Thu Mar 14 12:25:37 2024,14.973,15.159,15.002,14.998,15.001,15.001
Thu Mar 14 12:27:01 2024,14.952,15.045,15.0,15.005,15.001,15.003
Thu Mar 14 12:27:20 2024,14.928,15.032,15.001,14.999,14.999,15.001
Thu Mar 14 12:27:39 2024,14.931,14.954,14.999,15.002,15.001,15.001
Thu Mar 14 12:27:58 2024,15.245,14.916,15.002,14.999,14.999,15.002
Thu Mar 14 12:28:17 2024,14.977,14.853,15.0,14.997,14.998,14.999
Thu Mar 14 12:28:36 2024,14.922,15.056,15.001,15.001,15.002,15.0
Thu Mar 14 12:28:55 2024,14.919,14.898,15.001,15.0,15.0,15.002
Thu Mar 14 12:29:14 2024,14.913,15.091,15.0,15.003,15.001,15.004
Thu Mar 14 12:29:33 2024,14.919,14.849,14.999,15.001,15.0,15.002
Thu Mar 14 12:29:52 2024,14.927,14.855,15.002,15.0,14.999,14.999
Thu Mar 14 12:30:11 2024,14.933,14.818,15.0,15.0,14.998,15.001
Thu Mar 14 12:30:30 2024,14.925,14.82,15.001,14.998,15.001,14.999
Thu Mar 14 12:30:49 2024,14.908,15.042,14.998,15.002,14.999,14.999
Thu Mar 14 12:31:08 2024,14.92,14.967,15.001,15.0,15.002,15.002
Thu Mar 14 12:31:27 2024,15.016,15.601,15.0,15.001,15.005,15.002
Thu Mar 14 12:31:46 2024,15.039,15.354,15.0,14.997,14.998,15.002
Thu Mar 14 12:32:05 2024,15.034,14.963,14.999,14.998,14.998,15.004
Thu Mar 14 12:32:23 2024,14.966,14.881,15.0,14.998,15.0,14.998
Thu Mar 14 12:32:42 2024,14.925,14.916,15.003,15.001,15.004,14.998
Thu Mar 14 12:33:01 2024,14.909,15.062,14.997,15.002,15.001,15.001
