Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV
Thu Mar 14 12:04:13 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.0925,52.169342041015625,24.53399658203125,0.0,0,0,0,1,15.223333333333334
Thu Mar 14 12:04:21 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.0925,52.171791076660156,24.586212158203125,0.0,0,0,0,1,15.223333333333334
Thu Mar 14 12:04:28 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.08875,52.17150115966797,24.51446533203125,0.0,0,0,0,1,14.969666666666667
Thu Mar 14 12:04:36 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.07,52.17491149902344,24.438751220703125,0.0,0,0,0,1,14.969666666666667
Thu Mar 14 12:04:43 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.07375,52.171844482421875,24.558319091796875,0.0,0,0,0,1,14.979833333333334
Thu Mar 14 12:04:51 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08875,52.175018310546875,24.504150390625,0.0,0,0,0,1,14.979833333333334
Thu Mar 14 12:04:58 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.0775,52.17330551147461,24.503692626953125,0.0,0,0,0,1,14.991833333333332
Thu Mar 14 12:05:06 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.0925,52.1795654296875,24.542755126953125,0.0,0,0,0,1,14.991833333333332
Thu Mar 14 12:05:13 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.06375,0.0,74.0775,52.17216110229492,24.566680908203125,0.0,0,0,0,1,15.0075
Thu Mar 14 12:05:21 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08500000000001,52.17565155029297,24.666717529296875,0.0,0,0,0,1,15.0075
Thu Mar 14 12:05:28 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08125,52.17805099487305,24.677490234375,0.0,0,0,0,1,15.031500000000001
Thu Mar 14 12:05:36 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07875,0.0,74.08500000000001,52.177024841308594,24.65948486328125,0.0,0,0,0,1,15.031500000000001
Thu Mar 14 12:05:43 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,52.17390823364258,24.761962890625,0.0,0,0,0,1,14.945666666666666
Thu Mar 14 12:05:50 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,52.174461364746094,24.727294921875,0.0,0,0,0,1,14.945666666666666
Thu Mar 14 12:05:58 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.05999999999999,0.0,74.0925,52.17317199707031,24.73406982421875,0.0,0,0,0,1,14.948666666666666
Thu Mar 14 12:06:05 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08875,52.18057632446289,24.76678466796875,0.0,0,0,0,1,14.948666666666666
Thu Mar 14 12:06:13 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.0775,52.17584228515625,24.74725341796875,0.0,0,0,0,1,14.982999999999999
Thu Mar 14 12:06:20 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.0925,52.17725372314453,24.585784912109375,0.0,0,0,0,1,14.982999999999999
Thu Mar 14 12:06:28 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.075,0.0,74.08125,52.17948913574219,24.65313720703125,0.0,0,0,0,1,14.986666666666666
Thu Mar 14 12:06:35 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.07124999999999,0.0,74.08125,52.176631927490234,24.683868408203125,0.0,0,0,0,1,14.986666666666666
Thu Mar 14 12:06:42 2024,24-015,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,0.0,0.0,75.0825,0.0,74.08125,52.179779052734375,24.738494873046875,0.0,0,0,0,1,14.966333333333333
