Model,Mean,SD
KNN,-0.875,0.214
GPR,-1.072,0.124
Linear,-0.881,0.158
RidgeCV,-0.811,0.138
LassoCV,-0.862,0.158
ENCV,-0.857,0.157
RFR,-0.674,0.133
GBR,-0.734,0.151
SVR,-0.82,0.15
