Model,Mean,SD
KNN,-0.812,0.291
GPR,-0.812,0.246
Linear,-0.791,0.24
RidgeCV,-0.757,0.251
LassoCV,-0.798,0.264
ENCV,-0.798,0.262
RFR,-0.67,0.175
GBR,-0.719,0.163
SVR,-0.722,0.23
