Model,Mean,SD
KNN,0.245,0.231
GPR,-0.054,0.187
Linear,0.132,0.306
RidgeCV,0.195,0.276
LassoCV,-0.032,0.164
ENCV,-0.016,0.186
RFR,0.507,0.137
GBR,0.42,0.211
SVR,0.307,0.259
