Model,Mean,SD
KNN,-0.809,0.269
GPR,-0.877,0.157
Linear,-0.844,0.205
RidgeCV,-0.784,0.219
LassoCV,-0.838,0.238
ENCV,-0.835,0.24
RFR,-0.712,0.166
GBR,-0.767,0.128
SVR,-0.776,0.236
