Model,Mean,SD
KNN,-1.208,0.492
GPR,-1.323,0.244
Linear,-1.213,0.464
RidgeCV,-1.06,0.403
LassoCV,-1.172,0.472
ENCV,-1.162,0.472
RFR,-0.705,0.249
GBR,-0.835,0.362
SVR,-0.999,0.369
