Model,Mean,SD
KNN,-1.023,0.601
GPR,-1.209,0.671
Linear,-0.921,0.578
RidgeCV,-0.898,0.566
LassoCV,-0.959,0.593
ENCV,-0.947,0.593
RFR,-0.683,0.3
GBR,-0.79,0.33
SVR,-0.762,0.393
